구분번호,발생년월,주야,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령대,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령대,피해운전자 상해정도
2022000739,2022년 1월,야간,충청남도 천안시 서북구,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,31-40세,상해없음,이륜,남,13-20세,경상
2022000740,2022년 1월,야간,충청남도 천안시 서북구,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,41-50세,상해없음,승용,여,31-40세,경상
2022000774,2022년 1월,야간,충청남도 천안시 동남구,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,31-40세,상해없음,승용,남,41-50세,경상
2022000841,2022년 1월,주간,충청남도 천안시 서북구,중상사고,0,1,0,0,차대차 - 충돌,중앙선침범,건조,맑음,단일로 - 기타,승용,남,65세 이상,상해없음,승용,여,51-60세,중상
2022000910,2022년 1월,주간,충청남도 천안시 서북구,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,건조,맑음,교차로 - 교차로부근,승용,남,65세 이상,상해없음,승용,여,21-30세,경상
2022000911,2022년 1월,주간,충청남도 천안시 서북구,경상사고,0,0,1,0,차대차 - 충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,여,41-50세,상해없음,승용,여,41-50세,경상
2022000943,2022년 1월,주간,충청남도 천안시 서북구,중상사고,0,1,0,0,차대차 - 충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,41-50세,상해없음,이륜,남,13-20세,중상
2022001104,2022년 1월,주간,충청남도 천안시 동남구,경상사고,0,0,1,0,차대차 - 충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,21-30세,상해없음,화물,남,61-64세,경상
2022001182,2022년 1월,주간,충청남도 천안시 동남구,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,여,51-60세,상해없음,승용,여,65세 이상,경상
2022001235,2022년 1월,야간,충청남도 천안시 서북구,경상사고,0,0,2,0,차대차 - 충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,화물,남,31-40세,상해없음,승용,남,31-40세,경상
2022001236,2022년 1월,야간,충청남도 천안시 동남구,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,41-50세,상해없음,보행자,남,61-64세,중상
2022001237,2022년 1월,야간,충청남도 천안시 동남구,중상사고,0,1,0,0,차대사람 - 보도통행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,31-40세,상해없음,보행자,남,21-30세,중상
2022001292,2022년 1월,야간,충청남도 천안시 서북구,경상사고,0,0,1,0,차대차 - 기타,중앙선침범,젖음/습기,흐림,단일로 - 기타,승용,남,61-64세,상해없음,승용,남,31-40세,경상
2022001426,2022년 1월,주간,충청남도 천안시 동남구,경상사고,0,0,1,0,차대차 - 충돌,기타,건조,맑음,단일로 - 기타,승용,남,51-60세,상해없음,승용,여,41-50세,경상
2022001427,2022년 1월,주간,충청남도 천안시 동남구,경상사고,0,0,2,0,차대차 - 기타,교차로운행방법위반,건조,맑음,단일로 - 기타,건설기계,남,41-50세,경상,승용,남,61-64세,경상
2022001721,2022년 1월,주간,충청남도 천안시 서북구,중상사고,0,1,0,0,차대사람 - 길가장자리구역통행중,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,65세 이상,기타불명,보행자,여,65세 이상,중상
2022001722,2022년 1월,주간,충청남도 천안시 서북구,경상사고,0,0,1,0,차대차 - 충돌,기타,건조,맑음,교차로 - 교차로부근,승용,여,51-60세,상해없음,승용,남,31-40세,경상
2022001891,2022년 1월,야간,충청남도 천안시 동남구,경상사고,0,0,1,0,차대차 - 충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,51-60세,상해없음,승용,여,21-30세,경상
2022001917,2022년 1월,야간,충청남도 천안시 서북구,경상사고,0,0,1,0,차대차 - 충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,20세 이하,상해없음,승용,남,31-40세,경상
2022001993,2022년 1월,주간,충청남도 천안시 서북구,경상사고,0,0,1,0,차대차 - 기타,중앙선침범,건조,맑음,교차로 - 교차로안,화물,남,51-60세,상해없음,승용,남,21-30세,경상
2022002018,2022년 1월,주간,충청남도 천안시 서북구,경상사고,0,0,1,0,차대차 - 기타,교차로운행방법위반,건조,맑음,교차로 - 교차로부근,승용,여,31-40세,기타불명,화물,남,41-50세,경상
2022002124,2022년 1월,주간,충청남도 천안시 동남구,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,건조,맑음,교차로 - 교차로부근,승용,남,41-50세,상해없음,승용,여,31-40세,경상
2022002239,2022년 1월,야간,충청남도 천안시 동남구,경상사고,0,0,1,0,차대사람 - 보도통행중,기타,건조,맑음,단일로 - 기타,이륜,남,20세 이하,상해없음,보행자,여,41-50세,경상
2022002462,2022년 1월,주간,충청남도 천안시 동남구,경상사고,0,0,1,0,차대차 - 충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,21-30세,상해없음,승용,남,21-30세,경상
2022002519,2022년 1월,주간,충청남도 천안시 동남구,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,51-60세,상해없음,이륜,남,51-60세,경상
2022002520,2022년 1월,주간,충청남도 천안시 동남구,경상사고,0,0,1,0,차대차 - 충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,화물,남,51-60세,상해없음,승용,남,51-60세,상해없음
2022002556,2022년 1월,주간,충청남도 천안시 서북구,경상사고,0,0,1,0,차대차 - 충돌,신호위반,건조,맑음,교차로 - 교차로안,화물,남,31-40세,상해없음,승용,남,21-30세,경상
2022002557,2022년 1월,주간,충청남도 천안시 서북구,경상사고,0,0,1,0,차대차 - 충돌,중앙선침범,건조,맑음,단일로 - 기타,화물,남,51-60세,상해없음,화물,남,41-50세,경상
2022002634,2022년 1월,주간,충청남도 천안시 서북구,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,여,41-50세,상해없음,승용,남,65세 이상,경상
2022002635,2022년 1월,주간,충청남도 천안시 서북구,경상사고,0,0,2,0,차대차 - 충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,여,41-50세,경상,승용,남,21-30세,경상
2022002674,2022년 1월,주간,충청남도 천안시 서북구,경상사고,0,0,2,0,차대차 - 충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,여,20세 이하,경상,승용,남,31-40세,경상
2022002879,2022년 1월,야간,충청남도 천안시 서북구,경상사고,0,0,4,0,차대차 - 충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,21-30세,상해없음,승용,남,21-30세,경상
2022002986,2022년 1월,주간,충청남도 천안시 동남구,경상사고,0,0,1,0,차대차 - 충돌,기타,건조,맑음,교차로 - 교차로부근,승용,남,51-60세,상해없음,승용,남,31-40세,경상
2022003032,2022년 1월,주간,충청남도 천안시 동남구,경상사고,0,0,2,0,차대차 - 기타,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,65세 이상,상해없음,승용,여,31-40세,경상
2022003076,2022년 1월,주간,충청남도 천안시 서북구,경상사고,0,0,1,0,차량단독 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승합,남,21-30세,상해없음,,,,
2022003154,2022년 1월,주간,충청남도 천안시 서북구,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로안,승용,남,41-50세,상해없음,보행자,여,12세 이하,경상
2022003184,2022년 1월,주간,충청남도 천안시 서북구,경상사고,0,0,1,0,차대차 - 충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,51-60세,상해없음,승용,남,21-30세,경상
2022003185,2022년 1월,주간,충청남도 천안시 서북구,중상사고,0,1,0,0,차대차 - 충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,여,51-60세,상해없음,이륜,남,31-40세,중상
2022003284,2022년 1월,주간,충청남도 천안시 동남구,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,21-30세,상해없음,보행자,여,13-20세,중상
2022003332,2022년 1월,야간,충청남도 천안시 동남구,경상사고,0,0,1,0,차대차 - 충돌,안전운전불이행,건조,맑음,단일로 - 기타,건설기계,남,61-64세,상해없음,승합,남,21-30세,경상
2022003333,2022년 1월,야간,충청남도 천안시 동남구,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로횡단보도내,승용,여,51-60세,상해없음,보행자,남,13-20세,중상
2022003403,2022년 1월,야간,충청남도 천안시 서북구,경상사고,0,0,1,0,차대차 - 충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,여,51-60세,상해없음,이륜,남,41-50세,경상
2022003404,2022년 1월,야간,충청남도 천안시 동남구,경상사고,0,0,1,0,차대차 - 기타,신호위반,건조,맑음,교차로 - 교차로안,이륜,남,21-30세,경상,승용,남,31-40세,상해없음
2022003440,2022년 1월,야간,충청남도 천안시 서북구,부상신고사고,0,0,0,1,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,이륜,남,21-30세,부상신고,승용,남,31-40세,상해없음
2022003441,2022년 1월,야간,충청남도 천안시 서북구,중상사고,0,1,0,0,차대차 - 충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,51-60세,상해없음,승용,여,51-60세,중상
2022003482,2022년 1월,야간,충청남도 천안시 서북구,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,31-40세,상해없음,승용,여,31-40세,경상
2022003538,2022년 1월,야간,충청남도 천안시 서북구,경상사고,0,0,2,0,차대차 - 충돌,신호위반,건조,맑음,교차로 - 교차로부근,이륜,남,31-40세,상해없음,승용,남,65세 이상,경상
2022003587,2022년 1월,주간,충청남도 천안시 서북구,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,51-60세,상해없음,보행자,여,65세 이상,중상
2022003784,2022년 1월,주간,충청남도 천안시 서북구,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,41-50세,상해없음,이륜,남,31-40세,경상
2022003805,2022년 1월,주간,충청남도 천안시 서북구,부상신고사고,0,0,0,1,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,이륜,남,41-50세,부상신고,승용,남,31-40세,상해없음
2022003807,2022년 1월,주간,충청남도 천안시 동남구,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,41-50세,상해없음,보행자,남,41-50세,경상
2022003876,2022년 1월,주간,충청남도 천안시 서북구,경상사고,0,0,1,0,차대차 - 충돌,기타,건조,맑음,교차로 - 교차로안,승용,남,21-30세,상해없음,승용,여,21-30세,경상
2022003930,2022년 1월,야간,충청남도 천안시 동남구,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,31-40세,상해없음,보행자,여,51-60세,경상
2022004057,2022년 1월,야간,충청남도 천안시 서북구,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,41-50세,경상,승용,남,31-40세,경상
2022004359,2022년 1월,야간,충청남도 천안시 동남구,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,21-30세,상해없음,승용,남,41-50세,경상
2022004584,2022년 1월,주간,충청남도 천안시 서북구,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,기타 - 기타,승용,남,65세 이상,상해없음,보행자,남,61-64세,경상
2022004831,2022년 1월,야간,충청남도 천안시 서북구,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,이륜,남,21-30세,상해없음,승용,남,13-20세,상해없음
2022004853,2022년 1월,야간,충청남도 천안시 동남구,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,41-50세,상해없음,특수,남,41-50세,상해없음
2022005046,2022년 1월,주간,충청남도 천안시 서북구,경상사고,0,0,1,0,차대차 - 기타,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,31-40세,경상,승용,남,21-30세,기타불명
2022005099,2022년 1월,주간,충청남도 천안시 서북구,경상사고,0,0,1,0,차대차 - 충돌,안전운전불이행,건조,맑음,주차장 - 주차장,승용,남,41-50세,상해없음,승용,여,51-60세,경상
2022005169,2022년 1월,주간,충청남도 천안시 동남구,경상사고,0,0,1,0,차대차 - 충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,건설기계,남,31-40세,상해없음,승용,여,21-30세,경상
2022005205,2022년 1월,주간,충청남도 천안시 서북구,경상사고,0,0,1,0,차대차 - 충돌,안전운전불이행,건조,맑음,교차로 - 교차로횡단보도내,승용,남,41-50세,상해없음,개인형이동수단(PM),남,13-20세,경상
2022005329,2022년 1월,야간,충청남도 천안시 동남구,경상사고,0,0,1,0,차대차 - 충돌,기타,건조,맑음,교차로 - 교차로안,승용,여,41-50세,상해없음,화물,남,51-60세,경상
2022005330,2022년 1월,야간,충청남도 천안시 동남구,경상사고,0,0,1,0,차대차 - 충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,여,61-64세,상해없음,승용,남,41-50세,경상
2022005458,2022년 1월,야간,충청남도 천안시 동남구,경상사고,0,0,1,0,차대차 - 충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,51-60세,상해없음,승용,남,41-50세,경상
2022005459,2022년 1월,야간,충청남도 천안시 동남구,경상사고,0,0,2,0,차대차 - 충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,31-40세,경상,승용,남,31-40세,경상
2022005546,2022년 1월,주간,충청남도 천안시 서북구,경상사고,0,0,1,0,차대차 - 기타,교차로운행방법위반,건조,맑음,단일로 - 기타,승용,남,41-50세,기타불명,승용,남,21-30세,경상
2022005639,2022년 1월,주간,충청남도 천안시 서북구,경상사고,0,0,1,0,차대차 - 충돌,안전거리미확보,건조,맑음,단일로 - 기타,건설기계,남,51-60세,상해없음,승용,여,65세 이상,경상
2022005662,2022년 1월,주간,충청남도 천안시 서북구,중상사고,0,1,0,0,차대차 - 충돌,기타,건조,맑음,교차로 - 교차로안,승용,남,31-40세,상해없음,자전거,여,61-64세,중상
2022005909,2022년 1월,야간,충청남도 천안시 서북구,경상사고,0,0,2,0,차대차 - 기타,신호위반,건조,맑음,교차로 - 교차로안,승용,여,21-30세,상해없음,승용,여,21-30세,경상
2022006015,2022년 1월,야간,충청남도 천안시 서북구,경상사고,0,0,1,0,차대사람 - 보도통행중,안전운전불이행,건조,맑음,단일로 - 기타,기타불명,기타불명,기타불명,기타불명,보행자,남,41-50세,경상
2022006086,2022년 1월,야간,충청남도 천안시 서북구,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,51-60세,상해없음,승용,남,31-40세,경상
2022006244,2022년 1월,주간,충청남도 천안시 서북구,경상사고,0,0,1,0,차대차 - 충돌,안전거리미확보,건조,맑음,교차로 - 교차로안,승용,여,65세 이상,상해없음,이륜,남,13-20세,경상
2022006245,2022년 1월,주간,충청남도 천안시 서북구,경상사고,0,0,1,0,차대차 - 기타,기타,건조,맑음,교차로 - 교차로안,화물,남,31-40세,상해없음,승용,여,41-50세,경상
2022006349,2022년 1월,주간,충청남도 천안시 서북구,중상사고,0,1,0,0,차대차 - 기타,기타,건조,맑음,교차로 - 교차로안,이륜,남,21-30세,중상,승용,남,41-50세,상해없음
2022006512,2022년 1월,야간,충청남도 천안시 서북구,경상사고,0,0,1,0,차대차 - 기타,신호위반,건조,맑음,교차로 - 교차로안,승용,남,65세 이상,상해없음,승용,남,21-30세,경상
2022006609,2022년 1월,야간,충청남도 천안시 동남구,사망사고,1,2,0,0,차대차 - 충돌,중앙선침범,건조,맑음,단일로 - 교량,승용,여,31-40세,중상,승용,남,65세 이상,사망
2022006726,2022년 1월,주간,충청남도 천안시 서북구,경상사고,0,0,6,0,차대차 - 기타,신호위반,건조,맑음,단일로 - 고가도로위,화물,남,31-40세,상해없음,승용,여,21-30세,경상
2022006791,2022년 1월,주간,충청남도 천안시 동남구,경상사고,0,0,3,0,차대차 - 충돌,기타,건조,맑음,교차로 - 교차로안,승합,남,51-60세,상해없음,승용,남,51-60세,경상
2022006826,2022년 1월,주간,충청남도 천안시 서북구,중상사고,0,1,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,여,31-40세,중상,승용,남,51-60세,경상
2022006856,2022년 1월,주간,충청남도 천안시 서북구,중상사고,0,1,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,61-64세,상해없음,승합,남,41-50세,경상
2022006857,2022년 1월,주간,충청남도 천안시 서북구,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,건조,맑음,기타 - 기타,승용,남,41-50세,상해없음,승용,남,21-30세,경상
2022006884,2022년 1월,주간,충청남도 천안시 서북구,중상사고,0,1,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,여,41-50세,중상,건설기계,남,51-60세,경상
2022006923,2022년 1월,주간,충청남도 천안시 동남구,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,41-50세,상해없음,승용,여,41-50세,경상
2022007044,2022년 1월,야간,충청남도 천안시 동남구,중상사고,0,1,0,0,차대차 - 충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,41-50세,상해없음,이륜,남,31-40세,중상
2022007108,2022년 1월,야간,충청남도 천안시 서북구,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,51-60세,상해없음,보행자,남,41-50세,중상
2022007157,2022년 1월,야간,충청남도 천안시 동남구,경상사고,0,0,5,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,31-40세,상해없음,승용,여,31-40세,경상
2022007205,2022년 1월,야간,충청남도 천안시 서북구,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,건조,맑음,교차로 - 교차로안,승용,남,41-50세,상해없음,보행자,남,51-60세,경상
2022007321,2022년 1월,주간,충청남도 천안시 동남구,경상사고,0,0,1,0,차대차 - 충돌,중앙선침범,건조,맑음,단일로 - 기타,승용,여,31-40세,기타불명,승용,여,65세 이상,경상
2022007366,2022년 1월,주간,충청남도 천안시 동남구,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,51-60세,상해없음,승용,남,31-40세,경상
2022007392,2022년 1월,주간,충청남도 천안시 서북구,경상사고,0,0,1,0,차대차 - 충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,여,21-30세,상해없음,승용,남,61-64세,경상
2022007454,2022년 1월,주간,충청남도 천안시 서북구,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,원동기,남,31-40세,기타불명,승용,여,31-40세,경상
2022007544,2022년 1월,주간,충청남도 천안시 서북구,경상사고,0,0,1,0,차대차 - 충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,41-50세,상해없음,승용,남,21-30세,경상
2022007577,2022년 1월,주간,충청남도 천안시 동남구,경상사고,0,0,1,0,차대차 - 충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,41-50세,상해없음,승용,남,41-50세,경상
2022007673,2022년 1월,야간,충청남도 천안시 서북구,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로안,화물,남,41-50세,상해없음,승용,남,31-40세,경상
2022007712,2022년 1월,야간,충청남도 천안시 서북구,중상사고,0,1,0,0,차대차 - 충돌,중앙선침범,건조,맑음,단일로 - 기타,승용,남,31-40세,상해없음,이륜,남,41-50세,중상
2022007749,2022년 1월,야간,충청남도 천안시 서북구,경상사고,0,0,4,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,31-40세,상해없음,승용,남,21-30세,경상
2022007782,2022년 1월,야간,충청남도 천안시 동남구,경상사고,0,0,1,0,차대차 - 충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,21-30세,상해없음,승용,여,31-40세,경상
2022007967,2022년 1월,주간,충청남도 천안시 서북구,경상사고,0,0,2,0,차대차 - 충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,21-30세,상해없음,승용,남,21-30세,경상
2022008060,2022년 1월,야간,충청남도 천안시 서북구,중상사고,0,1,0,0,차량단독 - 충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,51-60세,중상,,,,
2022008095,2022년 1월,야간,충청남도 천안시 서북구,경상사고,0,0,1,0,차대차 - 충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,화물,남,61-64세,상해없음,이륜,남,13-20세,경상
2022008114,2022년 1월,야간,충청남도 천안시 서북구,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,51-60세,상해없음,보행자,여,21-30세,경상
2022008136,2022년 1월,야간,충청남도 천안시 서북구,사망사고,1,0,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,21-30세,상해없음,보행자,여,31-40세,사망
2022008155,2022년 1월,야간,충청남도 천안시 동남구,중상사고,0,1,1,0,차량단독 - 충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,51-60세,경상,,,,
2022008242,2022년 1월,주간,충청남도 천안시 동남구,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,21-30세,상해없음,보행자,남,65세 이상,경상
2022008243,2022년 1월,주간,충청남도 천안시 동남구,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,21-30세,상해없음,보행자,남,51-60세,경상
2022008441,2022년 1월,주간,충청남도 천안시 서북구,중상사고,0,1,0,0,차대차 - 기타,신호위반,건조,맑음,교차로 - 교차로안,승용,여,51-60세,상해없음,승용,여,41-50세,중상
2022008471,2022년 1월,주간,충청남도 천안시 동남구,경상사고,0,0,1,0,차대차 - 충돌,안전운전불이행,젖음/습기,눈,단일로 - 기타,화물,남,41-50세,상해없음,승용,여,61-64세,경상
2022008549,2022년 1월,야간,충청남도 천안시 서북구,경상사고,0,0,8,0,차대차 - 충돌,안전거리미확보,서리/결빙,눈,단일로 - 기타,승용,여,51-60세,상해없음,승합,여,41-50세,경상
2022008576,2022년 1월,야간,충청남도 천안시 서북구,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,적설,눈,교차로 - 교차로안,승용,남,21-30세,상해없음,승용,남,41-50세,경상
2022008603,2022년 1월,야간,충청남도 천안시 서북구,부상신고사고,0,0,0,1,차대차 - 충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승합,남,61-64세,상해없음,승용,여,41-50세,부상신고
2022008772,2022년 1월,주간,충청남도 천안시 동남구,경상사고,0,0,1,0,차대차 - 충돌,안전거리미확보,서리/결빙,맑음,단일로 - 기타,건설기계,남,41-50세,상해없음,승용,남,31-40세,경상
2022008773,2022년 1월,주간,충청남도 천안시 동남구,경상사고,0,0,1,0,차대차 - 충돌,안전운전불이행,서리/결빙,맑음,교차로 - 교차로안,승용,여,41-50세,상해없음,승용,남,51-60세,상해없음
2022008853,2022년 1월,주간,충청남도 천안시 서북구,경상사고,0,0,1,0,차대차 - 기타,기타,건조,맑음,단일로 - 기타,화물,남,51-60세,상해없음,승용,남,31-40세,경상
2022008919,2022년 1월,주간,충청남도 천안시 서북구,경상사고,0,0,2,1,차대차 - 충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,61-64세,부상신고,승용,남,21-30세,경상
2022009222,2022년 1월,야간,충청남도 천안시 서북구,중상사고,0,1,1,0,차대차 - 기타,신호위반,건조,맑음,단일로 - 기타,승용,남,21-30세,상해없음,승용,남,41-50세,중상
2022009417,2022년 1월,주간,충청남도 천안시 동남구,경상사고,0,0,1,0,차대차 - 충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,건설기계,남,41-50세,상해없음,승용,여,51-60세,경상
2022009546,2022년 1월,주간,충청남도 천안시 서북구,중상사고,0,1,0,0,차대차 - 충돌,안전거리미확보,건조,맑음,교차로 - 교차로부근,승용,남,20세 이하,상해없음,이륜,남,21-30세,중상
2022009547,2022년 1월,주간,충청남도 천안시 동남구,중상사고,0,1,0,0,차대차 - 충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,51-60세,상해없음,자전거,남,12세 이하,중상
2022009576,2022년 1월,주간,충청남도 천안시 동남구,경상사고,0,0,2,0,차대차 - 충돌,안전운전불이행,건조,맑음,단일로 - 고가도로위,화물,남,51-60세,상해없음,승용,여,41-50세,경상
2022009577,2022년 1월,주간,충청남도 천안시 동남구,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,41-50세,경상,화물,남,65세 이상,상해없음
