index,연번,구분,학교명,학급수,학생수(명),우편번호,주소,연락처,lat,lon
23,24,유치원,목천초등학교병설유치원,1,6,31231,충남 천안시 동남구 목천읍 서리2길 31,041-555-2016,36.7876937772989,127.235482046989
24,25,유치원,신계초등학교병설유치원,1,6,31233,충남 천안시 동남구 목천읍 천정1길 243-9,041-557-1163,36.7687772111732,127.202391278899
26,27,유치원,신흥초등학교병설유치원,1,10,31233,충남 천안시 동남구 목천읍 신계5길 27,041-557-0383,36.7735534112013,127.21655783482
27,28,유치원,위례초등학교병설유치원,1,4,31238,충남 천안시 동남구 북면 오곡2길 6-13,041-554-7363,36.8245848453101,127.274323525732
28,29,유치원,은석초등학교병설유치원,1,6,31242,충남 천안시 동남구 북면 용암3길 10,041-556-4061,36.7882787925268,127.257563627281
29,30,유치원,성남초등학교병설유치원,1,5,31248,충남 천안시 동남구 성남면 대흥신덕길 95,041-553-0032,36.7272765557759,127.250929581284
30,31,유치원,신사초등학교병설유치원,1,3,31245,충남 천안시 동남구 성남면 신사대화로 155,041-553-7122,36.7426721552908,127.238233215994
31,32,유치원,수신초등학교병설유치원,1,4,31251,충남 천안시 동남구 수신면 수신로 459,041-522-0104,36.7329854057333,127.28333875063
32,33,유치원,병천초등학교병설유치원,1,3,31254,충남 천안시 동남구 병천면 병천2로 35,041-564-1021,36.7658767304547,127.300739370307
33,34,유치원,천동초등학교병설유치원,1,5,31258,충남 천안시 동남구 동면 동산1길 59,041-553-4013,36.7783635012066,127.347984414738
34,35,유치원,성환초등학교병설유치원,1,10,31015,충남 천안시 서북구 성환읍 성환12길 37,041-581-9555,36.9181490987513,127.132510331711
35,36,유치원,성신초등학교병설유치원,1,5,31014,충남 천안시 서북구 성환읍 성환12길 7,041-581-1820,36.9181787816959,127.128456830486
37,38,유치원,신가초등학교병설유치원,1,6,31001,충남 천안시 서북구 성환읍 성환신흥2길 2,041-581-2705,36.9510108009635,127.114518265316
38,39,유치원,신방초등학교병설유치원,1,8,31000,충남 천안시 서북구 성환읍 신방로 73,041-582-1925,36.9290215348209,127.088028028158
39,40,유치원,도하초등학교병설유치원,1,4,31005,충남 천안시 서북구 성환읍 연암로 382,041-581-1503,36.94848358675731,127.16673641940152
40,41,유치원,직산초등학교병설유치원,1,1,31032,충남 천안시 서북구 직산읍 직산안길 79,041-581-3708,36.9037529470649,127.161815414284
41,42,유치원,삼은초등학교병설유치원,2,10,31037,충남 천안시 서북구 직산읍 삼은2길 11,041-583-0046,36.8777218404151,127.148139121005
43,44,유치원,성거초등학교병설유치원,1,9,31046,충남 천안시 서북구 성거읍 소댕이3길 606-21,041-555-4684,36.8718467969943,127.199764731378
44,45,유치원,입장초등학교병설유치원,1,3,31055,충남 천안시 서북구 입장면 하장4길 19,041-585-3995,36.913412827028,127.220040802678
45,46,유치원,천안일봉유치원,8,70,31154,충남 천안시 동남구 다가2길 3,041-577-1923,36.8002241997311,127.138259114278
46,47,유치원,천안도솔유치원,11,85,31111,충남 천안시 서북구 두정역동3길 3,041-522-9791,36.83581532827046,127.15084741903785
47,48,유치원,천안성정유치원,6,64,31141,충남 천안시 서북구 성정7길 3,041-571-1057,36.8156053043605,127.14052826517
48,49,유치원,천안버들유치원,13,208,31156,충남 천안시 서북구 불당23로 41,041-906-7771,36.8191486354459,127.105525478999
49,50,유치원,천안성성유치원,12,156,31079,충남 천안시 서북구 성성10길 10-4,041-564-1832,36.8407072305659,127.136865538319
50,51,유치원,천안꽃마루유치원,12,176,31078,충남 천안시 서북구 성성6로 37,041-418-5040,36.84185666009466,127.12407549591245
51,52,유치원,천안불당유치원,14,208,31156,충남 천안시 서북구 불당27로 12,041-567-1571,,
52,53,유치원,천안신촌초등학교병설유치원,1,7,31177,충남 천안시 동남구 신촌4로 9,041-577-6858,36.7873582421247,127.123389312281
53,54,유치원,소망초등학교병설유치원,1,3,31048,충남 천안시 서북구 성거읍 역전말3길 102 ,041-587-0072,36.8758976208775,127.162241176207
54,55,유치원,천안새샘초등학교병설유치원,1,4,31207,충남 천안시 동남구 통정9로 58,041-413-2390,36.7711191340902,127.131074046723
56,57,유치원,천안차암초등학교병설유치원,3,44,31085,충남 천안시 서북구 스마일시티1로 50,041-413-3502,36.8445919054917,127.105977506041
57,58,유치원,천안불무초등학교병설유치원,5,72,31156,충남 천안시 서북구 불당23로 29,041-565-9975,36.8196285012759,127.104988151025
58,59,유치원,천안한들초등학교병설유치원,4,21,31096,충남 천안시 서북구 한들2로 33,041-551-5804,36.8257045401801,127.1176491064
59,60,유치원,천안백석초등학교병설유치원,2,27,31158,충남 천안시 서북구 백석3로 98,041-622-8486,36.8200016194826,127.121926358228
60,61,유치원,천안희망초등학교병설유치원,3,36,31115,충남 천안시 동남구 단대로 21-7,041-622-6427,36.82650218932122,127.15381410646155
61,62,유치원,천안호수초등학교병설유치원,4,52,31167,충남 천안시 서북구 공원로 140,041-533-5362,36.7960107004486,127.09828244133
62,63,유치원,천안가람초등학교병설유치원,4,53,31078,충남 천안시 서북구 성성6로 47-11,041-415-2473,36.843059407047484,127.1242949416276
63,64,유치원,천안능수초등학교병설유치원,4,36,31212,충남 천안시 동남구 청당용평로 112,041-414-2585,36.776646816231384,127.16031341319862
64,65,유치원,복자유치원,4,61,31131,충남 천안시 동남구 옛시청길 32,041-567-9666,36.8059291106544,127.150882906642
65,66,유치원,색동유치원,2,38,31141,충남 천안시 서북구 성정6길 8-7,041-575-4131,36.8144013660505,127.14057537653
66,67,유치원,대한유치원,9,186,31133,충남 천안시 서북구 동서대로110-24,041-575-3990,36.8243131555257,127.134702192749
67,68,유치원,중앙유치원,5,83,31137,충남 천안시 서북구 서부14길 55,041-575-9998,36.8213594339016,127.142341080714
68,69,유치원,미래클유치원,6,113,31133,충남 천안시 서북구 쌍용대로 301 ,041-577-6622,36.824275326402784,127.13548001243095
69,70,유치원,자연유치원,5,73,31150,충남 천안시 동남구 양지4길 6-7,041-572-5306,,
70,71,유치원,예랑유치원,4,52,31166,충남 천안시 서북구 쌍용11길 33,041-571-2556,36.8021823215695,127.123515059977
71,72,유치원,젤라유치원,6,147,31155,충남 천안시 서북구 미라3길 5,041-571-0033,36.8001320903749,127.130455638585
72,73,유치원,호서대학교부속유치원,6,114,31066,충남 천안시 동남구 각원사길 69,041-560-8470,36.83105252705066,127.18029159620797
73,74,유치원,천안원광유치원,2,29,31120,충남 천안시 동남구 천안천9길 58,041-551-4974,36.821837905775446,127.15737015505881
74,75,유치원,새미기픈믈유치원,6,84,31137,충남 천안시 서북구 서부13길 39,041-572-0642,36.820843990891284,127.14159365799772
75,76,유치원,늘푸른유치원,8,190,31099,충남 천안시 서북구 늘푸른6길 41,041-554-9413,36.8298803958128,127.132927391842
76,77,유치원,한사랑유치원,4,73,31102,충남 천안시 서북구 두정중5길 22,041-555-5274,36.835440804383964,127.14403639048558
77,78,유치원,더그림유치원(구 한라유치원),7,114,31185,충남 천안시 동남구 서부대로 226-12,041-578-2500,36.7871890702883,127.129936266388
78,79,유치원,늘사랑유치원,9,155,31161,충남 천안시 서북구 봉서산샛길 67,041-578-3111,36.8042687347344,127.121435249354
79,80,유치원,미래유치원,11,197,31095,충남 천안시 서북구 백석로 17-17,041-551-3233,36.8240133928931,127.114642586958
80,81,유치원,또바트유치원(구 예스유치원),3,20,31177,충남 천안시 동남구 신촌4로 16,041-572-0272,36.7877083496588,127.126369979276
81,82,유치원,푸른별유치원,5,89,31172,충남 천안시 서북구 쌍용14길 66,041-578-1777,36.7963771086999,127.12288387973
82,83,유치원,좋은유치원,3,39,31172,충남 천안시 서북구 쌍용18길 18,041-578-4422,36.799238325958,127.120055805153
83,84,유치원,엔젤유치원,5,66,31171,충남 천안시 서북구 월봉7길 77,041-579-6755,36.7937633636473,127.11622659936407
84,85,유치원,아이캔유치원,6,105,31117,충남 천안시 동남구 중앙로 281-5,041-558-7942,,
85,86,유치원,우리유치원,14,295,31099,충남 천안시 서북구 부성1길 51-10,041-522-5201,36.8385961097204,127.13498228238831
86,87,유치원,유한유치원,6,91,31179,충남 천안시 서북구 월봉9길 7,041-577-3511,,
87,88,유치원,세중아유치원,15,271,31150,충남 천안시 동남구 양지2길 22,041-573-6477,36.8088341259079,127.136082606058
88,89,유치원,행복한리더로유치원,15,300,31090,충남 천안시 서북구 오성6길 27,041-523-7600,36.83223315687136,127.13051460944286
89,90,유치원,백향목유치원,12,253,31206,충남 천안시 동남구 배울1길 16,041-573-5829,36.7702751966937,127.137887217334
90,91,유치원,세화유치원,7,130,31175,충남 천안시 서북구 충무로 158-23,041-573-6400,,
91,92,유치원,아이숲유치원,7,138,31181,충남 천안시 서북구 다가말 2길 26,041-577-7179,,
92,93,유치원,사랑유치원,6,78,31008,충남 천안시 서북구 성환읍 신방로 336-11,041-581-4757,36.9239348411352,127.114482248404
93,94,유치원,동심유치원,4,87,31046,충남 천안시 서북구 성거읍 소댕이3길 13,041-622-3645,36.8713988297779,127.19604895733
94,95,유치원,동화유치원,4,71,31050,충남 천안시 서북구 성거읍 신월길 42,041-583-5034,36.87365983964199,127.15229014760959
95,96,유치원,새천안유치원,5,73,31038,충남 천안시 서북구 직산읍 자은가리1길 68-1,041-585-3600,36.86967483627899,127.12729217200209
96,97,유치원,은파유치원,1,7,31246,충남 천안시 동남구 목천읍 운전3길 20,041-557-9596,,
98,99,유치원,하얀유치원,3,53,31226,충남 천안시 동남구 목천읍 삼성5길 54,041-621-5544,36.7603276229283,127.178039475785
99,100,유치원,아이세상유치원,2,18,31046,충남 천안시 서북구 성거읍 망향로 528-3,041-562-1193,,
100,101,유치원,가원유치원,7,118,31233,충남 천안시 동남구 목천읍 목천안터1길 55,041-562-1004,36.7770872899167,127.207624222736
101,102,유치원,도담유치원,6,121,31030,충남 천안시 서북구 직산읍 양당율금길 4-24,041-585-7179,36.89322798063849,127.12455461673326
102,103,유치원,화랑유치원,2,15,31055,충남 천안시 서북구 입장면 하장1길10-6,041-583-9286,,
103,104,유치원,백석대학교부속유치원,6,108,31197,충남 천안시 동남구 청수7로 30-15,041-558-1580,36.78559744219946,127.16042168078464
104,105,유치원,세실유치원,3,34,31205,충남 천안시 동남구 통정6로 46,041-578-8034,,
105,106,유치원,명문유치원,6,100,31208,충남 천안시 동남구 통정8로 5-23,041-578-8010,36.772281867164345,127.12915838762108
106,107,유치원,셀라유치원,9,178,31184,충남 천안시 동남구 용곡2길 43-22,041-574-1000,,
107,108,유치원,아이솔유치원,12,247,31095,충남 천안시 서북구 번영로 306-8,041-523-7770,,
108,109,유치원,좋은나무숲유치원,8,172,31197,충남 천안시 동남구 청수7로 6,041-565-3355,,
109,110,유치원,백석유치원,13,235,31097,충남 천안시 서북구 한들2로 34-42,041-621-8010,36.82734983898655,127.12311273886401
110,111,유치원,해여림유치원,18,334,31091,충남 천안시 서북구 한들4로 75,041-554-3217,,
111,112,유치원,이튼유치원,20,386,31156,충남 천안시 서북구 불당18로 33,041-567-7111,36.80531504996218,127.10522858597226
112,113,유치원,신관유치원,6,72,32576,충남 공주시 번영1로 97-9,041-853-9935,36.4749536899219,127.138103145534
113,114,유치원,공주중동초등학교병설유치원,2,16,32563,충남 공주시 웅진로 146-5,041-850-9606,36.453714790487,127.125299496666
114,115,유치원,공주금학초등학교병설유치원,1,3,32564,충남 공주시 공주고담길 19,041-856-8775,36.4478069912937,127.125071370601
116,117,유치원,공주봉황초등학교병설유치원,1,3,32549,충남 공주시 오거리길5,041-854-2203,36.449588176672,127.121107658085
118,119,유치원,공주교동초등학교병설유치원,2,11,32542,충남 공주시 용당길 69-6,041-854-3927,36.46000194919909,127.11666922665917
119,120,유치원,공주신월초등학교병설유치원,3,38,32579,충남 공주시 번영1로 193(신관동),041-881-5016,,
120,121,유치원,유구초등학교병설유치원,1,7,32506,충남 공주시 유구읍 유구초교길 12,041-841-7964,36.5542995121791,126.949750084568
121,122,유치원,구산초등학교병설유치원,1,8,32508,충남 공주시 유구읍 유구마곡사로 61-1,041-841-8589,36.5517398162587,126.957954444372
122,123,유치원,이인초등학교병설유치원,1,2,32607,충남 공주시 이인면 은행길56,041-857-7922,36.3622640197988,127.060096141964
123,124,유치원,탄천초등학교병설유치원,1,5,32609,충남 공주시 탄천면 통산로 168,041-853-4276,36.33114126726525,127.03032903790601
124,125,유치원,계룡초등학교병설유치원,1,6,32616,충남 공주시 계룡면 영규대사로 459,041-857-9125,36.357671770563,127.14121136272
125,126,유치원,경천초등학교병설유치원,1,4,32619,충남 공주시 계룡면 신원사로112,041-852-4030,36.3244728342696,127.149615356136
126,127,유치원,반포초등학교병설유치원,1,3,32622,충남 공주시 반포면 반포초교길 97,070-7606-1514,36.39981991959069,127.2452699741166
127,128,유치원,학봉초등학교병설유치원,1,9,32626,충남 공주시 반포면 동학사 1로 141-10,042-825-4068,36.3613877003992,127.252981009035
128,129,유치원,의당초등학교병설유치원,1,6,32518,충남 공주시 의당면 의당초교길 49,041-854-4073,36.5305503866654,127.153727406563
129,130,유치원,수촌초등학교병설유치원,1,3,35311,충남 공주시 윗태실길 1-8,041-858-1015,36.5173837111507,127.135048031946
130,131,유치원,정안초등학교병설유치원,1,6,32512,충남 공주시 정안면 내촌리 정안중앙길79,041-858-9577,,
131,132,유치원,석송초등학교병설유치원,1,4,32513,충남 공주시 정안면 마래섭들길56,041-858-0386,36.5644995017287,127.114378586712
132,133,유치원,우성초등학교병설유치원,1,6,32531,충남 공주시 우성면 동대리길 33,041-853-2486,36.4718014588649,127.047826700085
133,134,유치원,귀산초등학교병설유치원,1,12,32528,충남 공주시 우성면 귀산길 81-15,041-854-7302,36.4999354545129,127.112533384
135,136,유치원,호계초등학교병설유치원,1,5,32523,충남 공주시 사곡면 마곡사로 149-12,041-841-5883,36.507707334459,127.023482337988
136,137,유치원,마곡초등학교병설유치원,1,3,32520,충남 공주시 사곡면 운정길 29-10,041-841-8013,36.5589153868103,127.018212042719
137,138,유치원,신풍초등학교병설유치원,1,6,32525,충남 공주시 신풍면 신풍길50-11,041-841-6493,36.5175626286145,126.952966850046
138,139,유치원,덕암초등학교병설유치원,1,1,32500,충남 공주시 유구읍 금계산로 943,041-841-6351,36.6300457514775,126.970197131101
139,140,유치원,공주대학교사범대학부설유치원,6,88,32576,충남 공주시 신관동 공주대학로 56(신관캠퍼스 내),041-850-6052,,
140,141,유치원,근화유치원,3,62,32562,충남 공주시 성당길 9,041-856-1035,36.45540159858476,127.12716628078526
142,143,유치원,자람터유치원,3,55,32578,충남 공주시 신금1길 62-9,041-881-8206,36.476511865623,127.146363158378
143,144,유치원,한국영상대학교부설유치원,8,141,32514,충남 공주시 정안면 화봉평정길 48,041-852-8530,,
144,145,유치원,행복한울타리유치원,3,70,32593,충남 공주시 월송동현로 70(월송동),041-857-7942,,
145,146,유치원,명천유치원,7,94,33481,충남 보령시 주공로 119,041-931-8862,36.3391368883332,126.610609810478
146,147,유치원,대천초등학교병설유치원,1,8,33439,충남 보령시 대천로 59,041-931-1403,36.3541451925191,126.599202567716
147,148,유치원,대천동대초등학교병설유치원,3,52,33430,충남 보령시 한내로터리길 137-12,041-931-7937,36.3526645608923,126.614820470827
148,149,유치원,청룡초등학교병설유치원,1,4,33491,충남 보령시 대해로 646,041-933-3587,36.3195875031825,126.538416933132
152,153,유치원,대창초등학교병설유치원,1,5,33522,충남 보령시 웅천읍 방축길 90-43,041-934-6694,36.2318607195387,126.60590766226
154,155,유치원,주포초등학교병설유치원,1,2,33414,충남 보령시 주포면 보령읍성길 87-22,041-932-6780,36.4162131004215,126.590405634159
155,156,유치원,관창초등학교병설유치원,1,3,33426,충남 보령시 주교면 한술1길 17,041-932-3540,36.3854567268153,126.582720686511
156,157,유치원,송학초등학교병설유치원,1,3,33409,충남 보령시 주교면 토정로 796-52,041-934-7095,36.3800256539478,126.526933320447
157,158,유치원,오천초등학교병설유치원,1,8,33412,충남 보령시 오천면 충청수영로 822,041-932-9858,36.4384819844458,126.523232898919
158,159,유치원,오천초등학교삽시분교장병설유치원,1,1,33411,충남 보령시 오천면 삽시도1길 159-34,041-932-3895,36.3500672418017,126.358456097937
159,160,유치원,천북초등학교병설유치원,1,5,33402,충남 보령시 천북면 하궁길 45,041-641-9018,36.4818678015035,126.531577592577
161,162,유치원,청소초등학교병설유치원,1,2,33418,충남 보령시 청소면 청소큰길 225,041-932-9776,36.4514547384674,126.592223823482
162,163,유치원,남포초등학교병설유치원,1,4,33495,충남 보령시 남포면 읍성향교길 21,041-934-2343,36.3052076311071,126.608992678287
163,164,유치원,주산초등학교병설유치원,1,4,33517,충남 보령시 주산면 충서로 416,041-933-6064,36.1997311600484,126.634837985036
164,165,유치원,청라초등학교병설유치원,1,11,33424,충남 보령시 청라면 원모루길 205,041-933-8038,36.3905091651623,126.672482046751
165,166,유치원,청보초등학교병설유치원,1,4,33423,충남 보령시 청라면 대청로 759,041-931-1430,36.3894227610741,126.656583578949
166,167,유치원,옥계초등학교병설유치원,1,5,33421,충남 보령시 청라면 죽성로 681,041-936-1025,36.4121067221555,126.645397018245
167,168,유치원,월전초등학교병설유치원,1,6,33501,충남 보령시 남포면 곡촌길 11,041-934-1094,36.2716727967363,126.568133455744
168,169,유치원,개화초등학교병설유치원,1,3,33486,충남 보령시 성주면 성주산로 735,041-933-9511,36.3068033450862,126.654233924013
169,170,유치원,성주초등학교병설유치원,1,3,33485,충남 보령시 성주면 성주초교길 8,041-934-3484,36.3421567697278,126.653658875268
170,171,유치원,미산초등학교병설유치원,1,8,33512,충남 보령시 미산면 판미로 1462-7,041-933-4178,36.28860384684155,126.67708611368056
171,172,유치원,청파초등학교외연도분교장병설유치원,1,1,33411,충남 보령시 오천면 외연도1길 134,041-936-6780,36.2286783310258,126.081801112993
173,174,유치원,보령창미유치원,6,68,33447,충남 보령시 주교면 토정로 218,041-931-9534,36.3662462191319,126.57069011079382
174,175,유치원,꿈바위유치원,3,57,33430,충남 보령시 한내여중길 66,041-936-1968,36.3471615701674,126.620889855654
175,176,유치원,상아유치원,9,175,33443,충남 보령시 봉황로 91,041-936-2226,36.36045804451175,126.59843707139105
176,177,유치원,제일유치원,10,209,33441,충남 보령시 대고로 20,041-934-1255,36.3630796182301,126.608502798283
177,178,유치원,온양동신유치원,6,80,31526,충남 아산시 번영로 234번길52,041-548-3345,36.7799777248322,127.017592071387
178,179,유치원,온양초등학교병설유치원,1,4,31562,충남 아산시 온주길 26번길 10,041-549-7036,36.761050548211,127.018317957397
179,180,유치원,온양온천초등학교병설유치원,5,33,31520,충남 아산시 청운로 90,041-544-9822,36.782278294886,127.009481899075
180,181,유치원,온양초사초등학교병설유치원,1,6,31559,충남 아산시 초사길 122,041-532-2139,36.7511006607325,126.973554596802
181,182,유치원,온양천도초등학교병설유치원,4,32,31504,충남 아산시 실옥로 45,041-544-4860,36.7872056997785,126.99197840925
182,183,유치원,신리초등학교병설유치원,4,52,31517,충남 아산시 모종로 73-13,041-425-2095,36.786780077413205,127.02373974394925
183,184,유치원,신광초등학교병설유치원,2,10,32530,충남 아산시 서부북로 993,041-534-7217,36.7891520245564,126.969315519362
184,185,유치원,온양중앙초등학교병설유치원,1,6,31570,충남 아산시 중앙로 17,041-546-5909,36.7768287108016,127.001756446746
185,186,유치원,용화초등학교병설유치원,1,8,31569,충남 아산시 시민로 258번길 3-8,041-549-7490,36.7736278904513,126.995998873126
186,187,유치원,온양신정초등학교병설유치원,2,10,31502,충남 아산시 온천대로 1333번길 29,041-532-7920,36.78786125085364,126.98681355764452
187,188,유치원,아산초등학교병설유치원,4,41,31580,충남 아산시 남부로 266,041-549-6294,36.7703077063348,127.01129496741
188,189,유치원,송남초등학교병설유치원,1,10,31557,충남 아산시 송악면 송악로 802,041-543-9704,36.7328031715965,127.010349055193
189,190,유치원,거산초등학교병설유치원,1,6,31584,충남 아산시 송악면 외암로 460,041-542-9155,36.6919172993435,126.989898119893
190,191,유치원,금곡초등학교병설유치원,4,30,31581,충남 아산시 배방읍 고불로 563-4,041-549-9016,36.7499900457861,127.040751491749
192,193,유치원,연화초등학교병설유치원,3,27,31467,충남 아산시 배방읍 연화로 43,041-549-8565,36.7871716898378,127.094937040725
193,194,유치원,아산용연초등학교병설유치원,4,47,31463,충남 아산시 배방읍 용연동길 25,041-541-7106,36.792342308525,127.092617452754
194,195,유치원,아산공수초등학교병설유치원,5,70,31480,충남 아산시 배방읍 모산로 38-59,041-424-7904,,
195,196,유치원,탕정초등학교병설유치원,3,35,31457,충남 아산시 탕정면 탕정면로 105,041-544-5873,36.8016415877931,127.065879026929
196,197,유치원,동덕초등학교병설유치원,3,26,31458,충남 아산시 탕정면 탕정면로 381 ,041-533-3814,36.8209604439935,127.084501284155
197,198,유치원,탕정미래초등학교병설유치원,4,40,31457,충남 아산시 탕정면 탕정면로 54-15 ,041-549-6815,36.797704864455824,127.06378930936492
198,199,유치원,염티초등학교병설유치원,1,3,31445,충남 아산시 염치읍 염치로 49,041-541-8734,36.8168143871781,126.977441236836
200,201,유치원,음봉초등학교병설유치원,1,9,31443,충남 아산시 음봉면 아산온천로 517,041-544-2805,36.8493423596462,127.011472526561
201,202,유치원,월랑초등학교병설유치원,5,70,31416,충남 아산시 음봉면 음봉로 515-50,041-541-4742,36.845668102489554,127.06883186110169
202,203,유치원,쌍룡초등학교병설유치원,1,4,31414,충남 아산시 음봉면 연암율금로 499,041-545-6999,36.8802922847026,127.074480356237
203,204,유치원,산동초등학교병설유치원,4,44,31418,충남 아산시 음봉면 산동희망로 10,041-427-7051,36.846611054947395,127.10419646426438
204,205,유치원,둔포초등학교병설유치원,2,13,31405,충남 아산시 둔포면 둔포중앙로 161번길 7 ,041-531-0054,36.9271266767681,127.038825297825
205,206,유치원,염작초등학교병설유치원,3,47,31406,충남 아산시 둔포면 아산밸리중앙로 33,041-531-1123,36.9244797725968,127.051681472056
206,207,유치원,남창초등학교병설유치원,1,6,31401,충남 아산시 둔포면 신남북길 16,041-531-8844,36.9210127859712,127.001171669043
207,208,유치원,관대초등학교병설유치원,1,12,31411,충남 아산시 둔포면 산전길 19,041-531-1590,36.8986058504207,127.036777853527
208,209,유치원,선장초등학교병설유치원,1,2,31546,충남 아산시 선장면 서부남로 21,041-542-0731,36.7883752882543,126.863931175091
209,210,유치원,도고초등학교병설유치원,1,7,31552,충남 아산시 도고면 도고산로 598,041-544-3811,36.74656484758264,126.89929482251523
211,212,유치원,신창초등학교병설유치원,1,5,31462,충남 아산시 신창면 서부남로 840번길 26,041-541-5173,36.7802517831602,126.932405164213
212,213,유치원,오목초등학교병설유치원,1,5,31534,충남 아산시 신창면 서부북로 547,041-542-7263,36.8085877418321,126.928543175006
213,214,유치원,배방유치원,8,105,31487,충남 아산시 배방읍 북수로 25번길 10,041-549-0141,36.77220599787203,127.06382194388993
214,215,유치원,아산흰돌유치원,6,66,31402,충남 아산시 영인면 아산호로 229 ,041-549-6313,,
215,216,유치원,아산월천유치원,10,76,31494,충남 아산시 배방읍 월천3길 16,041-549-6742,36.772746852057196,127.0771955435908
216,217,유치원,한들물빛유치원,13,208,31465,충남 아산시 탕정면 한들물빛1로 48,041-910-8301,36.782559642826335,127.0830834196599
217,218,유치원,아산세교유치원,15,222,31473,충남 아산시 배방읍 세교중앙1길 9,041-532-3521,36.77812772482016,127.0931302033118
218,219,유치원,한들물빛초등학교병설유치원,4,52,31465,충남 아산시 탕정면 한들물빛도시로 49,041-424-8404,36.78348087174463,127.08395487114694
219,220,유치원,아산갈산초등학교병설유치원,4,52,31461,충남 아산시 탕정면 갈산교로 210,041-532-7106,36.7939665794631,127.069449994186
220,221,유치원,온양제일유치원,3,71,31524,충남 아산시 모종북로17,041-533-5074,36.788686151424,127.017253473981
221,222,유치원,룸비니글로벌유치원,7,93,31539,충남 아산시 신정로 183,041-548-3553,36.7412488023477,126.970154193695
222,223,유치원,삼일푸른유치원,6,109,31419,충남 아산시 음봉면 음봉로 847,041-532-0990,36.828777262360155,127.0999878097908
223,224,유치원,프라임유치원,7,153,31491,충남 아산시 배방읍 북수로 111번길 6-9,041-533-3852,,
224,225,유치원,자연유치원,7,100,31479,충남 아산시 배방읍 공수길 120-14,041-548-5611,,
225,226,유치원,숲속성광유치원,9,177,31580,충남 아산시 남부로 370-54,041-542-9977,,
226,227,유치원,수정명문유치원,5,101,31567,충남 아산시 시민로291번길 30-6,041-546-8290,,
227,228,유치원,해와달유치원,4,61,31531,충남 아산시 서부북로 956,041-531-7979,36.78866435968986,126.96543928521218
228,229,유치원,대명아이웰유치원,5,65,31568,충남 아산시 시민로 208번길 3-7,041-534-0017,36.7690177445106,126.995174741713
229,230,유치원,아이사랑유치원,10,191,31579,충남 아산시 남부로 321-19,041-542-8881,36.77350256533593,127.01571772696602
230,231,유치원,빛나유치원,3,48,33652,충남 아산시 온천대로 1092번길 75,041-545-0400,36.77794927961891,126.95995288027797
231,232,유치원,아주나유치원,13,272,31462,충남 아산시 배방읍 용연동길 48,041-545-7400,36.7931814019678,127.093568579404
