무인교통단속카메라관리번호,시도명,시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,설치장소,단속구분,제한속도,단속구간위치구분,과속단속구간길이,보호구역구분,설치연도,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
G0555,충청남도,천안시 서북구,시도,,백석로,2,,충청남도 천안시 서북구 백석동 691,36.82332474,127.1210248,백석그린빌아파트 뒤 횡단보도,2,50,,,99.0,2017.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G0556,충청남도,천안시 동남구,시도,,일봉로,2,,충청남도 천안시 동남구 신방동 934,36.79336111,127.1335833,성지새말아파트2차 삼거리,2,30,,,99.0,2017.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G0557,충청남도,천안시 동남구,지방도,629,광풍로,1,,충청남도 천안시 동남구 풍세면 보성리 119-2,36.73431427,127.1264272,풍세교차로,2,70,,,99.0,2017.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G0839,충청남도,천안시 서북구,시도,,충무로,3,,충청남도 천안시 서북구 쌍용동 446-7,36.79227778,127.1210278,현대홈타운 입구4가,2,50,,,99.0,2018.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G0840,충청남도,천안시 서북구,시도,,봉주로,1,충청남도 천안시 서북구 봉주로 312,충청남도 천안시 서북구 성거읍 문덕리 194-21,36.87892116,127.180565,문덕리 입구3가,1,60,,,99.0,2018.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G0842,충청남도,천안시 동남구,일반국도,43,세종평택로,2,,충청남도 천안시 동남구 풍세면 용정리 산1-5,36.74919644,127.1031135,천안시 동남구 풍세면 용정리 산1-5,1,90,,,99.0,2018.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G1633,충청남도,천안시 서북구,일반국도,1,천안대로,1,,충청남도 천안시 서북구 신당동 596-15,36.85036401,127.155268,공주대 천안캠퍼스 입구,2,50,,,99.0,2018.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G1634,충청남도,천안시 서북구,지방도,1,불당대로,3,,충청남도 천안시 서북구 불당동 1446,36.80187801,127.112159,원형육교 사거리,2,50,,,99.0,2018.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G1635,충청남도,천안시 서북구,지방도,1,불당19로,3,충청남도 천안시 서북구 불당19로 111,충청남도 천안시 서북구 불당동 1546,36.81386461,127.1010918,린스트라우스 2단지 앞 삼거리,2,50,,,99.0,2018.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G1636,충청남도,천안시 서북구,지방도,1,번영로,3,,충청남도 천안시 서북구 성성동 298-1,36.85127701,127.125757,차암2공단 입구 삼거리,2,60,,,99.0,2018.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G1637,충청남도,천안시 동남구,지방도,1,만남로,3,,충청남도 천안시 동남구 신부동 824,36.82127501,127.162201,천안로사거리,2,50,,,99.0,2018.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G1638,충청남도,천안시 동남구,지방도,1,광풍로,3,,충청남도 천안시 동남구 구룡동 631-1,36.76397011,127.139518,구룡2동 마을입구 삼거리,2,70,,,99.0,2018.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G1639,충청남도,천안시 동남구,일반국도,1,충절로,3,,충청남도 천안시 동남구 동면 동산리 22-4,36.79214301,127.368656,동산3리 마을입구 삼거리,1,50,,,99.0,2018.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G1640,충청남도,천안시 동남구,일반국도,1,충절로,3,충청남도 천안시 동남구 충절로 2728,충청남도 천안시 동남구 동면 덕성리 산6-9,36.81345801,127.377043,진천→천안,1,50,,,99.0,2018.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G1641,충청남도,천안시 서북구,일반국도,1,천안대로,3,,충청남도 천안시 서북구 성환읍 안궁리 303-16,36.95637101,127.129861,안궁사거리,2,60,,,99.0,2018.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G1643,충청남도,천안시 서북구,지방도,1,광장로,3,,충청남도 천안시 서북구 불당동 1287,36.79529216,127.0982679,용곡생태터널 앞 사거리,2,30,,,2.0,2018.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G1540,충청남도,천안시 서북구,지방도,1,불당23로,3,,충청남도 천안시 서북구 불당동 1867,36.81882871,127.1037876,천안불무초등학교 앞 사거리,2,30,,,2.0,2018.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G1541,충청남도,천안시 동남구,지방도,1,수신로,3,,충청남도 천안시 동남구 수신면 해정리 82-2,36.7198594,127.2775694,해정1리 마을입구,1,60,,,99.0,2018.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G1542,충청남도,천안시 동남구,지방도,1,충무로,3,,충청남도 천안시 동남구 다가동 494,36.79853201,127.134588,일봉육교 앞 교차로,2,50,,,99.0,2018.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G2065,충청남도,천안시 서북구,시도,,삼성대로,1,,충청남도 천안시 서북구 성성동 1-73,36.83909599,127.1311625,푸르지오아파트 앞,1,60,,,99.0,2018.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G2066,충청남도,천안시 서북구,시도,,삼성대로,1,,충청남도 천안시 서북구 두정동 1838,36.83933201,127.131146,장애인복지관 앞,1,60,,,99.0,2018.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G2067,충청남도,천안시 서북구,시도,,공단6로,1,,충청남도 천안시 서북구 차암동 520,36.8458372,127.1092865,효성해링턴아파트 입구 삼거리,2,50,,,99.0,2018.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G2068,충청남도,천안시 동남구,지방도,629,광풍로,1,,충청남도 천안시 동남구 청당동 368-4,36.77759701,127.143621,신천안모터스 앞 삼거리,2,50,,,99.0,2018.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G2907,충청남도,천안시 동남구,지방도,693,수신로,1,,충청남도 천안시 동남구 수신면 백자리 467-2,36.7089011,127.2741011,백자슈퍼 앞,1,60,,,99.0,2019.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G2908,충청남도,천안시 동남구,일반국도,43,세종평택로,1,,충청남도 천안시 동남구 풍세면 보성리 134-1,36.7328011,127.1299011,풍세교차로앞,1,90,,,99.0,2019.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G2909,충청남도,천안시 동남구,일반국도,23,차령로,1,,충청남도 천안시 동남구 광덕면 대평리 산4-1,36.678011,127.1632011,유천교차로1km전방,1,80,,,99.0,2019.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G2910,충청남도,천안시 동남구,시도,,쌍용대로,1,,충청남도 천안시 동남구 봉명동 224,36.8074011,127.1328011,천안고 4가,2,60,,,99.0,2019.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G2911,충청남도,천안시 동남구,시도,,충절로,2,,충청남도 천안시 동남구 원성동 602,36.809011,127.1585011,에덴주유소앞 교차로,2,50,,,99.0,2019.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G2912,충청남도,천안시 동남구,기타,,천안대로,1,,충청남도 천안시 동남구 목천읍 삼성리 83-14,36.7541011,127.1711011,남천안IC 출구앞 3가,2,80,,,99.0,2019.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G2913,충청남도,천안시 동남구,시도,,충무로,3,,충청남도 천안시 동남구 원성동 619,36.7984011,127.1538011,남부오거리,2,50,,,99.0,2019.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G2914,충청남도,천안시 동남구,시도,,충절로,3,,충청남도 천안시 동남구 삼룡동 41-35,36.7763011,127.1781011,천안의료원 앞 교차로,2,50,,,99.0,2019.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G2915,충청남도,천안시 동남구,지방도,696,매봉로,3,,충청남도 천안시 동남구 병천면 탑원리 368-7,36.7532011,127.302011,창들2교차로,2,60,,,99.0,2019.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G2916,충청남도,천안시 서북구,일반국도,34,삼사로,3,,충청남도 천안시 서북구 성환읍 우신리 27-28,36.9257011,127.114011,우신1교차로앞,1,80,,,99.0,2019.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G2917,충청남도,천안시 서북구,일반국도,1,천안대로,3,,충청남도 천안시 서북구 신당동 477-16,36.8626495,127.1502759,서북고가교 전,1,60,,,99.0,2019.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G2918,충청남도,천안시 서북구,지방도,23,망향로,3,,충청남도 천안시 서북구 독정리 133-3,36.9221011,127.2353011,입장교차로,2,70,,,99.0,2019.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G2919,충청남도,천안시 서북구,시도,,불당21로,3,,충청남도 천안시 서북구 불당동 1883,36.80879672,127.1074678,아름초등학교 앞,2,30,,,2.0,2019.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G2920,충청남도,천안시 서북구,시도,,동서대로,3,,충청남도 천안시 서북구 성정동 747,36.8255011,127.141011,롯데마트 4가,2,50,,,99.0,2019.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G2921,충청남도,천안시 서북구,시도,,번영로,3,,충청남도 천안시 서북구 백석동 1114,36.8282011,127.1139011,브라운스톤 4가,2,60,,,99.0,2019.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G2922,충청남도,천안시 서북구,지방도,23,망향로,3,,충청남도 천안시 서북구 성거읍 요방리 160-9,36.851011,127.1834011,방주빌라 입구 3가,2,60,,,99.0,2019.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
천안서북-F0138,충청남도,천안시 서북구,시도,,한들2로,3,,충청남도 천안시 서북구 백석동 101-34,36.826855,127.1208571,한들2로 한들3로,4,0,,,2.0,2022.0,충청남도 천안시 서북구청,041-521-6420,2023-07-01,4490000,충청남도 천안시
천안서북-F0139,충청남도,천안시 서북구,시도,,불당22대로,3,,충청남도 천안시 서북구 불당동 1877,36.816251,127.1061771,스타벅스 시청점 사거리,4,0,,,,2022.0,충청남도 천안시 서북구청,041-521-6420,2023-07-01,4490000,충청남도 천안시
천안서북-F0140,충청남도,천안시 서북구,시도,,불당34길,3,충청남도 천안시 서북구 불당34길 18,충청남도 천안시 서북구 불당동 1840,36.806639,127.1062041,불당34길,4,0,,,,2022.0,충청남도 천안시 서북구청,041-521-6420,2023-07-01,4490000,충청남도 천안시
천안서북-F0141,충청남도,천안시 서북구,시도,,쌍용14길,3,,충청남도 천안시 서북구 쌍용동 778,36.796087,127.1252641,쌍용역~시영2차아파트,4,0,,,,2022.0,충청남도 천안시 서북구청,041-521-6420,2023-07-01,4490000,충청남도 천안시
천안서북-F0142,충청남도,천안시 서북구,시도,,축구센터로,3,,충청남도 천안시 서북구 성정동 119-34,36.815251,127.1471861,한도A~성정지하차도 주변,4,0,,,,2022.0,충청남도 천안시 서북구청,041-521-6420,2023-07-01,4490000,충청남도 천안시
천안서북-F0143,충청남도,천안시 서북구,시도,,불당27길,3,충청남도 천안시 서북구 불당동27길 7,충청남도 천안시 서북구 불당동 1574,36.812948,127.1016891,불당27길 불당유치원주변,4,0,,,2.0,2022.0,충청남도 천안시 서북구청,041-521-6420,2023-07-01,4490000,충청남도 천안시
천안서북-F0144,충청남도,천안시 서북구,시도,,불당23로,3,충청남도 천안시 서북구 불당23로 13,충청남도 천안시 서북구 불당동 1866,36.819451,127.1010211,불당19로 불당23로,4,0,,,2.0,2022.0,충청남도 천안시 서북구청,041-521-6420,2023-07-01,4490000,충청남도 천안시
천안서북-F0145,충청남도,천안시 서북구,시도,,한들2로,3,충청남도 천안시 서북구 한들2로 34,충청남도 천안시 서북구 백석동 988,36.828313,127.1228531,한들2로 환서초 정문,4,0,,,2.0,2022.0,충청남도 천안시 서북구청,041-521-6420,2023-07-01,4490000,충청남도 천안시
천안서북-F0146,충청남도,천안시 서북구,시도,,두정역동2길,3,충청남도 천안시 서북구 두정역동2길 2,충청남도 천안시 서북구 두정동 1721,36.835258,127.1507371,두정역길 두정역동2길,4,0,,,2.0,2022.0,충청남도 천안시 서북구청,041-521-6420,2023-07-01,4490000,충청남도 천안시
천안서북-F0147,충청남도,천안시 서북구,시도,,성성6로,3,충청남도 천안시 서북구 성성6로 37,충청남도 천안시 서북구 성성동 989,36.841517,127.1248071,성성6로 꽃마루어린이집주변,4,0,,,2.0,2022.0,충청남도 천안시 서북구청,041-521-6420,2023-07-01,4490000,충청남도 천안시
천안서북-F0148,충청남도,천안시 서북구,시도,,성성6로,3,충청남도 천안시 서북구 성성6로21,충청남도 천안시 서북구 성성동 897,36.841626,127.1221311,성성6로 시티자이정문주변,4,0,,,2.0,2022.0,충청남도 천안시 서북구청,041-521-6420,2023-07-01,4490000,충청남도 천안시
천안서북-F0149,충청남도,천안시 서북구,시도,,성성9로,3,충청남도 천안시 서북구 성성9로,충청남도 천안시 서북구 성성동 726,36.843812,127.1315711,성성5로 성성9로,4,0,,,2.0,2022.0,충청남도 천안시 서북구청,041-521-6420,2023-07-01,4490000,충청남도 천안시
천안서북-F0150,충청남도,천안시 서북구,시도,,와촌4길,3,충청남도 천안시 서북구 와촌4길 16,충청남도 천안시 서북구 와촌동 179,36.805581,127.1448921,와촌5길 와촌초주변,4,0,,,2.0,2022.0,충청남도 천안시 서북구청,041-521-6420,2023-07-01,4490000,충청남도 천안시
천안서북-F0151,충청남도,천안시 서북구,시도,,월봉1길,3,충청남도 천안시 서북구 월봉1길 15,충청남도 천안시 서북구 쌍용동 2072,36.788314,127.1156831,쌍정초 유한유치원사거리,4,0,,,2.0,2022.0,충청남도 천안시 서북구청,041-521-6420,2023-07-01,4490000,충청남도 천안시
천안서북-F0152,충청남도,천안시 서북구,시도,,삼은2길,3,충청남도 천안시 서북구 삼은2길 11,충청남도 천안시 서북구 직산읍 삼은리 76-362,36.878081,127.1484531,삼은2길 삼은4길,4,0,,,2.0,2022.0,충청남도 천안시 서북구청,041-521-6420,2023-07-01,4490000,충청남도 천안시
천안서북-F0153,충청남도,천안시 서북구,시도,,서부대로,3,충청남도 천안시 서북구 서부대로,충청남도 천안시 서북구 성정동 542-5,36.824844,127.1326261,서부대로 주공6단지 부근,4,0,,,2.0,2022.0,충청남도 천안시 서북구청,041-521-6420,2023-07-01,4490000,충청남도 천안시
천안서북-F0154,충청남도,천안시 서북구,시도,,두정중 9길,3,충청남도 천안시 서북구 두정중 9길,충청남도 천안시 서북구 두정동 527-4,36.836769,127.1455891,봉정로 두정역서4길,4,0,,,2.0,2022.0,충청남도 천안시 서북구청,041-521-6420,2023-07-01,4490000,충청남도 천안시
천안서북-F0155,충청남도,천안시 서북구,시도,,두정역길,3,충청남도 천안시 서북구 두정역길,충청남도 천안시 서북구 두정동 1832,36.835234,127.1478581,두정역길 두정역서2길,4,0,,,2.0,2022.0,충청남도 천안시 서북구청,041-521-6420,2023-07-01,4490000,충청남도 천안시
천안서북-F0156,충청남도,천안시 서북구,시도,,쌍용18길,3,충청남도 천안시 서북구 쌍용18길 18,충청남도 천안시 서북구 쌍용동 786,36.799296,127.1203211,나사렛대길 쌍용18길,4,0,,,2.0,2022.0,충청남도 천안시 서북구청,041-521-6420,2023-07-01,4490000,충청남도 천안시
천안서북-F0157,충청남도,천안시 서북구,시도,,월봉11길,3,충청남도 천안시 서북구 월봉11길 6,충청남도 천안시 서북구 쌍용동 1912,36.788799,127.1170131,월봉2길 월봉11길,4,0,,,2.0,2022.0,충청남도 천안시 서북구청,041-521-6420,2023-07-01,4490000,충청남도 천안시
천안서북-F0158,충청남도,천안시 서북구,시도,,미라4길,3,충청남도 천안시 서북구 미라4길 16,충청남도 천안시 서북구 쌍용동 1261,36.799692,127.1305221,미라3길 미라4길,4,0,,,2.0,2022.0,충청남도 천안시 서북구청,041-521-6420,2023-07-01,4490000,충청남도 천안시
천안서북-F0159,충청남도,천안시 서북구,시도,,두정로,3,,충청남도 천안시 서북구 성성동 434-26,36.837978,127.1231771,노태산 포레나 이마트 주변,4,0,,,,2022.0,충청남도 천안시 서북구청,041-521-6420,2023-07-01,4490000,충청남도 천안시
천안서북-F0160,충청남도,천안시 서북구,시도,,두정로,3,충청남도 천안시 서북구 두정로,충청남도 천안시 서북구 백석동 970,36.833972,127.1261931,노태산 포레나 백석아이파크 주변,4,0,,,,2022.0,충청남도 천안시 서북구청,041-521-6420,2023-07-01,4490000,충청남도 천안시
천안서북-F0161,충청남도,천안시 서북구,시도,,불당22대로,3,충청남도 천안시 서북구 불당22대로,충청남도 천안시 서북구 불당동 1641,36.815528,127.1095111,번영로 수소 충전소 앞,4,0,,,,2023.0,충청남도 천안시 서북구청,041-521-6420,2023-07-01,4490000,충청남도 천안시
G3786,충청남도,천안시 서북구,시도,,시청로,3,,충청남도 천안시 서북구 불당동 776,36.80642901,127.113671,불당동우체국 앞 사거리,2,50,,,99.0,2020.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G3787,충청남도,천안시 서북구,시도,,백석로,3,,충청남도 천안시 서북구 백석동 770,36.82297701,127.125234,롯데리아 앞 4가,2,50,,,99.0,2019.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G3788,충청남도,천안시 동남구,시도,,청수14로,3,,충청남도 천안시 동남구 청당동 469,36.78454011,127.149394,천안가온초등학교 앞 교차로,2,30,,,2.0,2019.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G3789,충청남도,천안시 동남구,시도,,서부대로,3,,충청남도 천안시 동남구 신방동 57-6,36.79019201,127.128799,상신사거리,2,50,,,99.0,2019.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G3790,충청남도,천안시 동남구,지방도,693,수신로,3,,충청남도 천안시 동남구 수신면 장산리 824-14,36.74050101,127.285239,상록CC 입구 삼거리,2,60,,,99.0,2019.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G3791,충청남도,천안시 동남구,일반국도,1,천안대로,3,,충청남도 천안시 동남구 구성동 258-3,36.79124011,127.164822,굴울사거리,2,50,,,99.0,2019.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
천안서북-F0114,충청남도,천안시 서북구,시도,,성성9로,3,충청남도 천안시 서북구 성성9로 14,충청남도 천안시 서북구 성성동 697,36.84116611,127.1320714,오성로 청이해 주변,4,0,,,,2019.0,충청남도 천안시 서북구청,041-521-6420,2023-07-01,4490000,충청남도 천안시
천안서북-F0115,충청남도,천안시 서북구,시도,,한들3로,3,충청남도 천안시 서북구 한들3로 35-6,충청남도 천안시 서북구 백석동 1153,36.82709637,127.1231053,한들2로 백석유치원 주변,4,0,,,2.0,2019.0,충청남도 천안시 서북구청,041-521-6420,2023-07-01,4490000,충청남도 천안시
천안서북-F0116,충청남도,천안시 서북구,시도,,불당4로,3,충청남도 천안시 서북구 불당4로 91,충청남도 천안시 서북구 불당동 740,36.80699617,127.110379,스타벅스 천안불당점 주변,4,0,,,,2020.0,충청남도 천안시 서북구청,041-521-6420,2023-07-01,4490000,충청남도 천안시
천안서북-F0117,충청남도,천안시 서북구,시도,,3공단6로,3,충청남도 천안시 서북구 3공단6로 125,충청남도 천안시 서북구 차암동 552,36.84611107,127.1085701,스마일시티2차 로터리,4,0,,,,2020.0,충청남도 천안시 서북구청,041-521-6420,2023-07-01,4490000,충청남도 천안시
천안서북-F0118,충청남도,천안시 서북구,시도,,축구센터로,3,충청남도 천안시 서북구 축구센터로 179,충청남도 천안시 서북구 성정동 37-36,36.82376099,127.146526,시립성정어린이집 부근,4,0,,,,2020.0,충청남도 천안시 서북구청,041-521-6420,2023-07-01,4490000,충청남도 천안시
천안서북-F0119,충청남도,천안시 서북구,시도,,공원로,3,충청남도 천안시 서북구 공원로 176,충청남도 천안시 서북구 불당동 1288,36.7971119,127.098593,시티프라디움 3차 정문 주변,4,0,,,2.0,2020.0,충청남도 천안시 서북구청,041-521-6420,2023-07-01,4490000,충청남도 천안시
천안서북-F0120,충청남도,천안시 서북구,시도,,백석2길,3,,충청남도 천안시 서북구 백석동 911,36.81867847,127.1193006,"백석동 호반1,2차 사이 삼거리",4,0,,,2.0,2021.0,충청남도 천안시 서북구청,041-521-6420,2023-07-01,4490000,충청남도 천안시
천안서북-F0121,충청남도,천안시 서북구,시도,,두정상가8길,3,충청남도 천안시 서북구 두정상가8길 30,충청남도 천안시 서북구 두정동 1327,36.83212226,127.1412988,"성정두정로,두정상가 8길 사거리",4,0,,,,2021.0,충청남도 천안시 서북구청,041-521-6420,2023-07-01,4490000,충청남도 천안시
천안서북-F0122,충청남도,천안시 서북구,시도,,두정공원2길,3,충청남도 천안시 서북구 두정공원2길 14,충청남도 천안시 서북구 두정동 397-10,36.83479012,127.1539486,두정동 와마트 건너편,4,0,,,,2021.0,충청남도 천안시 서북구청,041-521-6420,2023-07-01,4490000,충청남도 천안시
천안서북-F0123,충청남도,천안시 서북구,시도,,두정공원2길,3,충청남도 천안시 서북구 두정공원2길 50,충청남도 천안시 서북구 두정동 401-1,36.836913,127.1559433,두정동 이편한세상 4차 정문 앞,4,0,,,,2021.0,충청남도 천안시 서북구청,041-521-6420,2023-07-01,4490000,충청남도 천안시
천안서북-F0124,충청남도,천안시 서북구,시도,,성성6로,3,충청남도 천안시 서북구 성성6로 68,충청남도 천안시 서북구 성성동 969,36.84122547,127.126633,성성동 푸르지오 3차 동문 앞,4,0,,,,2021.0,충청남도 천안시 서북구청,041-521-6420,2023-07-01,4490000,충청남도 천안시
천안서북-F0125,충청남도,천안시 서북구,시도,,봉주로,3,충청남도 천안시 서북구 성거읍 봉주로 122,충청남도 천안시 서북구 성거읍 신월리 2-8,36.877631,127.1601111,소망초 입구 봉주로 삼거리,4,0,,,2.0,2021.0,충청남도 천안시 서북구청,041-521-6420,2023-07-01,4490000,충청남도 천안시
천안서북-F0126,충청남도,천안시 서북구,시도,,성성8로,3,,충청남도 천안시 서북구 성성동 816,36.841566,127.1359291,성성6로 성성10길,4,0,,,2.0,2021.0,충청남도 천안시 서북구청,041-521-6420,2023-07-01,4490000,충청남도 천안시
천안서북-F0127,충청남도,천안시 서북구,시도,,성성10길,3,충청남도 천안시 서북구 성성10길 10-4,충청남도 천안시 서북구 성성동 790,36.840601,127.1369071,성성유치원 삼거리,4,0,,,2.0,2021.0,충청남도 천안시 서북구청,041-521-6420,2023-07-01,4490000,충청남도 천안시
