,index,연번,구분,학교명,학급수,학생수(명),우편번호,주소,연락처,학교_천안포함,lat,lon
30,35,36,유치원,성신초등학교병설유치원,1,5,31014,충남 천안시 서북구 성환읍 성환12길 7,041-581-1820,True,36.9181787816959,127.128456830486
31,37,38,유치원,신가초등학교병설유치원,1,6,31001,충남 천안시 서북구 성환읍 성환신흥2길 2,041-581-2705,True,36.9510108009635,127.114518265316
32,38,39,유치원,신방초등학교병설유치원,1,8,31000,충남 천안시 서북구 성환읍 신방로 73,041-582-1925,True,36.9290215348209,127.088028028158
33,39,40,유치원,도하초등학교병설유치원,1,4,31005,충남 천안시 서북구 성환읍 연암로 382,041-581-1503,True,36.94848358675731,127.16673641940152
34,40,41,유치원,직산초등학교병설유치원,1,1,31032,충남 천안시 서북구 직산읍 직산안길 79,041-581-3708,True,36.9037529470649,127.161815414284
35,41,42,유치원,삼은초등학교병설유치원,2,10,31037,충남 천안시 서북구 직산읍 삼은2길 11,041-583-0046,True,36.8777218404151,127.148139121005
36,43,44,유치원,성거초등학교병설유치원,1,9,31046,충남 천안시 서북구 성거읍 소댕이3길 606-21,041-555-4684,True,36.8718467969943,127.199764731378
37,44,45,유치원,입장초등학교병설유치원,1,3,31055,충남 천안시 서북구 입장면 하장4길 19,041-585-3995,True,36.913412827028,127.220040802678
38,45,46,유치원,천안일봉유치원,8,70,31154,충남 천안시 동남구 다가2길 3,041-577-1923,True,36.8002241997311,127.138259114278
39,46,47,유치원,천안도솔유치원,11,85,31111,충남 천안시 서북구 두정역동3길 3,041-522-9791,True,36.83581532827046,127.15084741903785
40,47,48,유치원,천안성정유치원,6,64,31141,충남 천안시 서북구 성정7길 3,041-571-1057,True,36.8156053043605,127.14052826517
41,48,49,유치원,천안버들유치원,13,208,31156,충남 천안시 서북구 불당23로 41,041-906-7771,True,36.8191486354459,127.105525478999
42,49,50,유치원,천안성성유치원,12,156,31079,충남 천안시 서북구 성성10길 10-4,041-564-1832,True,36.8407072305659,127.136865538319
43,50,51,유치원,천안꽃마루유치원,12,176,31078,충남 천안시 서북구 성성6로 37,041-418-5040,True,36.84185666009466,127.12407549591245
44,51,52,유치원,천안불당유치원,14,208,31156,충남 천안시 서북구 불당27로 12,041-567-1571,True,,
45,52,53,유치원,천안신촌초등학교병설유치원,1,7,31177,충남 천안시 동남구 신촌4로 9,041-577-6858,True,36.7873582421247,127.123389312281
46,53,54,유치원,소망초등학교병설유치원,1,3,31048,충남 천안시 서북구 성거읍 역전말3길 102 ,041-587-0072,True,36.8758976208775,127.162241176207
47,54,55,유치원,천안새샘초등학교병설유치원,1,4,31207,충남 천안시 동남구 통정9로 58,041-413-2390,True,36.7711191340902,127.131074046723
48,56,57,유치원,천안차암초등학교병설유치원,3,44,31085,충남 천안시 서북구 스마일시티1로 50,041-413-3502,True,36.8445919054917,127.105977506041
49,57,58,유치원,천안불무초등학교병설유치원,5,72,31156,충남 천안시 서북구 불당23로 29,041-565-9975,True,36.8196285012759,127.104988151025
50,58,59,유치원,천안한들초등학교병설유치원,4,21,31096,충남 천안시 서북구 한들2로 33,041-551-5804,True,36.8257045401801,127.1176491064
51,59,60,유치원,천안백석초등학교병설유치원,2,27,31158,충남 천안시 서북구 백석3로 98,041-622-8486,True,36.8200016194826,127.121926358228
52,60,61,유치원,천안희망초등학교병설유치원,3,36,31115,충남 천안시 동남구 단대로 21-7,041-622-6427,True,36.82650218932122,127.15381410646155
53,61,62,유치원,천안호수초등학교병설유치원,4,52,31167,충남 천안시 서북구 공원로 140,041-533-5362,True,36.7960107004486,127.09828244133
54,62,63,유치원,천안가람초등학교병설유치원,4,53,31078,충남 천안시 서북구 성성6로 47-11,041-415-2473,True,36.843059407047484,127.1242949416276
55,63,64,유치원,천안능수초등학교병설유치원,4,36,31212,충남 천안시 동남구 청당용평로 112,041-414-2585,True,36.776646816231384,127.16031341319862
56,64,65,유치원,복자유치원,4,61,31131,충남 천안시 동남구 옛시청길 32,041-567-9666,True,36.8059291106544,127.150882906642
57,65,66,유치원,색동유치원,2,38,31141,충남 천안시 서북구 성정6길 8-7,041-575-4131,True,36.8144013660505,127.14057537653
58,66,67,유치원,대한유치원,9,186,31133,충남 천안시 서북구 동서대로110-24,041-575-3990,True,36.8243131555257,127.134702192749
59,67,68,유치원,중앙유치원,5,83,31137,충남 천안시 서북구 서부14길 55,041-575-9998,True,36.8213594339016,127.142341080714
60,68,69,유치원,미래클유치원,6,113,31133,충남 천안시 서북구 쌍용대로 301 ,041-577-6622,True,36.824275326402784,127.13548001243095
61,69,70,유치원,자연유치원,5,73,31150,충남 천안시 동남구 양지4길 6-7,041-572-5306,True,,
62,70,71,유치원,예랑유치원,4,52,31166,충남 천안시 서북구 쌍용11길 33,041-571-2556,True,36.8021823215695,127.123515059977
63,71,72,유치원,젤라유치원,6,147,31155,충남 천안시 서북구 미라3길 5,041-571-0033,True,36.8001320903749,127.130455638585
64,72,73,유치원,호서대학교부속유치원,6,114,31066,충남 천안시 동남구 각원사길 69,041-560-8470,True,36.83105252705066,127.18029159620797
65,73,74,유치원,천안원광유치원,2,29,31120,충남 천안시 동남구 천안천9길 58,041-551-4974,True,36.821837905775446,127.15737015505881
66,74,75,유치원,새미기픈믈유치원,6,84,31137,충남 천안시 서북구 서부13길 39,041-572-0642,True,36.820843990891284,127.14159365799772
67,75,76,유치원,늘푸른유치원,8,190,31099,충남 천안시 서북구 늘푸른6길 41,041-554-9413,True,36.8298803958128,127.132927391842
68,76,77,유치원,한사랑유치원,4,73,31102,충남 천안시 서북구 두정중5길 22,041-555-5274,True,36.835440804383964,127.14403639048558
69,77,78,유치원,더그림유치원(구 한라유치원),7,114,31185,충남 천안시 동남구 서부대로 226-12,041-578-2500,True,36.7871890702883,127.129936266388
70,78,79,유치원,늘사랑유치원,9,155,31161,충남 천안시 서북구 봉서산샛길 67,041-578-3111,True,36.8042687347344,127.121435249354
71,79,80,유치원,미래유치원,11,197,31095,충남 천안시 서북구 백석로 17-17,041-551-3233,True,36.8240133928931,127.114642586958
72,80,81,유치원,또바트유치원(구 예스유치원),3,20,31177,충남 천안시 동남구 신촌4로 16,041-572-0272,True,36.7877083496588,127.126369979276
73,81,82,유치원,푸른별유치원,5,89,31172,충남 천안시 서북구 쌍용14길 66,041-578-1777,True,36.7963771086999,127.12288387973
74,82,83,유치원,좋은유치원,3,39,31172,충남 천안시 서북구 쌍용18길 18,041-578-4422,True,36.799238325958,127.120055805153
75,83,84,유치원,엔젤유치원,5,66,31171,충남 천안시 서북구 월봉7길 77,041-579-6755,True,36.7937633636473,127.11622659936407
76,84,85,유치원,아이캔유치원,6,105,31117,충남 천안시 동남구 중앙로 281-5,041-558-7942,True,,
77,85,86,유치원,우리유치원,14,295,31099,충남 천안시 서북구 부성1길 51-10,041-522-5201,True,36.8385961097204,127.13498228238831
78,86,87,유치원,유한유치원,6,91,31179,충남 천안시 서북구 월봉9길 7,041-577-3511,True,,
79,87,88,유치원,세중아유치원,15,271,31150,충남 천안시 동남구 양지2길 22,041-573-6477,True,36.8088341259079,127.136082606058
80,88,89,유치원,행복한리더로유치원,15,300,31090,충남 천안시 서북구 오성6길 27,041-523-7600,True,36.83223315687136,127.13051460944286
81,89,90,유치원,백향목유치원,12,253,31206,충남 천안시 동남구 배울1길 16,041-573-5829,True,36.7702751966937,127.137887217334
82,90,91,유치원,세화유치원,7,130,31175,충남 천안시 서북구 충무로 158-23,041-573-6400,True,,
83,91,92,유치원,아이숲유치원,7,138,31181,충남 천안시 서북구 다가말 2길 26,041-577-7179,True,,
84,92,93,유치원,사랑유치원,6,78,31008,충남 천안시 서북구 성환읍 신방로 336-11,041-581-4757,True,36.9239348411352,127.114482248404
85,93,94,유치원,동심유치원,4,87,31046,충남 천안시 서북구 성거읍 소댕이3길 13,041-622-3645,True,36.8713988297779,127.19604895733
86,94,95,유치원,동화유치원,4,71,31050,충남 천안시 서북구 성거읍 신월길 42,041-583-5034,True,36.87365983964199,127.15229014760959
87,95,96,유치원,새천안유치원,5,73,31038,충남 천안시 서북구 직산읍 자은가리1길 68-1,041-585-3600,True,36.86967483627899,127.12729217200209
88,96,97,유치원,은파유치원,1,7,31246,충남 천안시 동남구 목천읍 운전3길 20,041-557-9596,True,,
89,98,99,유치원,하얀유치원,3,53,31226,충남 천안시 동남구 목천읍 삼성5길 54,041-621-5544,True,36.7603276229283,127.178039475785
90,99,100,유치원,아이세상유치원,2,18,31046,충남 천안시 서북구 성거읍 망향로 528-3,041-562-1193,True,,
91,100,101,유치원,가원유치원,7,118,31233,충남 천안시 동남구 목천읍 목천안터1길 55,041-562-1004,True,36.7770872899167,127.207624222736
92,101,102,유치원,도담유치원,6,121,31030,충남 천안시 서북구 직산읍 양당율금길 4-24,041-585-7179,True,36.89322798063849,127.12455461673326
93,102,103,유치원,화랑유치원,2,15,31055,충남 천안시 서북구 입장면 하장1길10-6,041-583-9286,True,,
94,103,104,유치원,백석대학교부속유치원,6,108,31197,충남 천안시 동남구 청수7로 30-15,041-558-1580,True,36.78559744219946,127.16042168078464
95,104,105,유치원,세실유치원,3,34,31205,충남 천안시 동남구 통정6로 46,041-578-8034,True,,
96,105,106,유치원,명문유치원,6,100,31208,충남 천안시 동남구 통정8로 5-23,041-578-8010,True,36.772281867164345,127.12915838762108
97,106,107,유치원,셀라유치원,9,178,31184,충남 천안시 동남구 용곡2길 43-22,041-574-1000,True,,
98,107,108,유치원,아이솔유치원,12,247,31095,충남 천안시 서북구 번영로 306-8,041-523-7770,True,,
99,108,109,유치원,좋은나무숲유치원,8,172,31197,충남 천안시 동남구 청수7로 6,041-565-3355,True,,
100,109,110,유치원,백석유치원,13,235,31097,충남 천안시 서북구 한들2로 34-42,041-621-8010,True,36.82734983898655,127.12311273886401
101,110,111,유치원,해여림유치원,18,334,31091,충남 천안시 서북구 한들4로 75,041-554-3217,True,,
102,111,112,유치원,이튼유치원,20,386,31156,충남 천안시 서북구 불당18로 33,041-567-7111,True,36.80531504996218,127.10522858597226
103,497,498,초등학교,천안초등학교,18,386,31122,충남 천안시 동남구 중앙로 169,041-568-0747,True,36.8138830668919,127.151705434724
104,499,500,초등학교,천안남산초등학교,20,391,31132,충남 천안시 동남구 버들1길 30,041-565-3833,True,36.8050169160707,127.153906715873
105,500,501,초등학교,천안성정초등학교,17,282,31141,충남 천안시 서북구 성정7길 3,041-577-4105,True,36.8156053043605,127.14052826517
106,501,502,초등학교,천안일봉초등학교,20,390,31154,충남 천안시 동남구 다가2길 3,041-579-8450,True,36.8002241997311,127.138259114278
107,502,503,초등학교,환서초등학교,81,2154,31097,충남 천안시 서북구 한들2로 34-41,041-552-9858,True,36.82815262439277,127.12233834157563
108,503,504,초등학교,천안부대초등학교,12,171,31080,충남 천안시 서북구 공대길 37,041-568-8296,True,36.8490508825796,127.152169564917
109,504,505,초등학교,천안업성초등학교,6,45,31076,충남 천안시 서북구 업성5길 20,041-583-3736,True,36.8617050085863,127.14127651154
110,505,506,초등학교,천안청수초등학교,18,319,31190,충남 천안시 동남구 청수로 35-3,041-551-8951,True,36.7891650639147,127.150688697355
111,506,507,초등학교,천안청당초등학교,49,1274,31211,충남 천안시 동남구 청당2길 94,041-523-2591,True,36.7800339042007,127.151531155565
112,507,508,초등학교,천안신안초등학교,27,616,31125,충남 천안시 동남구 원성25길 21,041-622-7603,True,36.814027456188,127.162460181774
113,508,509,초등학교,안서초등학교,12,253,31066,충남 천안시 동남구 중암3길 10,041-551-4532,True,36.8324774776876,127.175879351858
114,509,510,초등학교,천안봉명초등학교,14,260,31151,충남 천안시 동남구 봉명2길 11,041-576-3232,True,36.8053822761039,127.135023135879
115,510,511,초등학교,천안구성초등학교,20,410,31194,충남 천안시 동남구 청수로 126,041-565-5193,True,36.7927268971258,127.158520638288
116,511,512,초등학교,천안서초등학교,25,490,31134,충남 천안시 서북구 서부16길 27,041-620-3800,True,36.822970192657706,127.13965849755088
117,512,513,초등학교,천안봉서초등학교,27,559,31148,충남 천안시 동남구 봉서10길 12,041-577-8520,True,36.8125053122023,127.131216293148
118,513,514,초등학교,천안미라초등학교,17,310,31155,충남 천안시 서북구 미라2길 13,041-571-4271,True,36.8008876525931,127.128404104799
119,514,515,초등학교,천안쌍용초등학교,24,522,31166,충남 천안시 서북구 쌍용6길 9,041-571-8614,True,36.8017332097663,127.122991044367
120,515,516,초등학교,천안신부초등학교,28,578,31119,충남 천안시 동남구 터미널5길 30,041-563-8246,True,36.822710184217,127.160066464558
121,516,517,초등학교,천안신용초등학교,29,652,31184,충남 천안시 동남구 새말1길 29,041-573-6105,True,36.7909280537633,127.132151983768
122,517,518,초등학교,천안용암초등학교,23,531,31166,충남 천안시 서북구 월봉로 147,041-577-0382,True,36.8041420479272,127.118387072071
123,518,519,초등학교,천안월봉초등학교,35,679,31171,충남 천안시 서북구 월봉4로 120-8,041-577-1816,True,36.7972602294491,127.115664919716
124,519,520,초등학교,천안부성초등학교,29,630,31100,충남 천안시 서부구 부성1길 16,041-561-0490,True,,
125,520,521,초등학교,천안신촌초등학교,13,176,31177,충남 천안시 동남구 신촌4로 9,041-577-6852,True,36.7873582421247,127.123389312281
126,521,522,초등학교,천안용곡초등학교,32,746,31185,충남 천안시 동남구 새말1길 73,041-569-6185,True,36.7871007804126,127.131558357391
127,522,523,초등학교,천안용소초등학교,30,709,31184,충남 천안시 동남구 일봉로 82-18,041-579-8142,True,36.7894892316876,127.135922906319
128,523,524,초등학교,천안백석초등학교,35,786,31158,충남 천안시 서북구 백석3로 98,041-622-8485,True,36.8200016194826,127.121926358228
129,524,525,초등학교,천안오성초등학교,41,891,31090,충남 천안시 서북구 오성5길 23,041-522-6092,True,36.8316348670553,127.130473237805
130,525,526,초등학교,천안두정초등학교,37,890,31103,충남 천안시 서북구 두정역서1길 10,041-622-9577,True,36.8363626953903,127.146933789616
131,526,527,초등학교,천안수곡초등학교,25,619,31175,충남 천안시 서북구 수곡로 19-32 ,041-576-6028,True,36.7902710551421,127.122990646992
132,527,528,초등학교,천안불당초등학교,48,1198,31164,충남 천안시 서북구 불당4로 39-21,041-622-2091,True,36.8061191400209,127.108900800726
133,528,529,초등학교,천안서당초등학교,35,832,31165,충남 천안시 서북구 불당11로 63,041-558-6012,True,36.8040347776446,127.113810464959
134,529,530,초등학교,천안신대초등학교,26,569,31102,충남 천안시 서북구 성정두정로 130,041-558-0642,True,36.8375787795817,127.142833010026
135,530,531,초등학교,천안와촌초등학교,12,219,31152,충남 천안시 서북구 와촌4길 16,041-579-9084,True,36.8063044280773,127.144715799985
136,531,532,초등학교,천안청룡초등학교,27,642,31202,충남 천안시 동남구 풍세로 801-28,041-579-9530,True,36.7810252014511,127.139694379994
137,532,533,초등학교,천안삼거리초등학교,28,496,31195,충남 천안시 동남구 충절로 340 ,041-569-1392,True,36.7895698072533,127.163542341567
138,533,534,초등학교,천안쌍정초등학교,23,520,31179,충남 천안시 서북구 충무로 5-44,041-578-9384,True,36.78733778554281,127.11502821836791
139,534,535,초등학교,천안새샘초등학교,48,1171,31207,충남 천안시 동남구 통정9로 58,041-413-2300,True,36.7711191340902,127.131074046723
140,535,536,초등학교,천안가온초등학교,39,957,31200,충남 천안시 동남구 청수14로 21,041-522-1731,True,36.7852853321096,127.148888612768
141,536,537,초등학교,천안차암초등학교,64,1426,31085,충남 천안시 서북구 스마일시티1로 50,041-413-3502,True,36.8445919054917,127.105977506041
142,537,538,초등학교,천안불무초등학교,75,2072,31156,충남 천안시 서북구 불당23로 29,041-567-0800,True,36.8196285012759,127.104988151025
143,538,539,초등학교,천안아름초등학교,75,2202,31156,충남 천안시 서북구 불당27길 1,041-418-9650,True,,
144,539,540,초등학교,천안한들초등학교,33,694,31096,충남 천안시 서북구 한들2로 33,041-551-5804,True,36.8257045401801,127.1176491064
145,540,541,초등학교,천안성성초등학교,53,1248,31078,충남 천안시 서북구 성성10길 77,041-569-0371,True,36.840780762887725,127.13560553722188
146,541,542,초등학교,천안희망초등학교,39,888,31115,충남 천안시 동남구 단대로 21-7,041-622-4100,True,36.82650218932122,127.15381410646155
147,542,543,초등학교,천안호수초등학교,27,555,31168,충남 천안시 서북구 공원로 140,041-533-5362,True,36.7960107004486,127.09828244133
148,543,544,초등학교,천안가람초등학교,53,1259,31078,충남 천안시 서북구 성성6로 47-11,041-415-2472,True,36.843059407047484,127.1242949416276
149,544,545,초등학교,천안능수초등학교,18,366,31212,충남 천안시 동남구 청당용평로 112,041-414-2580,True,36.776646816231384,127.16031341319862
150,545,546,초등학교,풍세초등학교,15,145,31217,충남 천안시 동남구 풍세면 풍세2길 5,041-566-7006,True,36.7260732138124,127.117998463379
151,546,547,초등학교,용정초등학교,6,84,31214,충남 천안시 동남구 풍세면 용정길 8-7,041-566-7184,True,36.7450290871864,127.101530643928
152,547,548,초등학교,미죽초등학교,6,101,31215,충남 천안시 동남구 풍세면 미죽2길 7,041-566-6238,True,36.7378837975117,127.151063119345
153,548,549,초등학교,광덕초등학교,7,68,31221,충남 천안시 동남구 광덕면 신흥리3길 36,041-567-0347,True,36.6986972265802,127.110262037846
154,549,550,초등학교,행정초등학교,6,14,31223,충남 천안시 동남구 광덕면 광덕로 534,041-566-6503,True,36.6870273947128,127.15702343647
155,550,551,초등학교,보산원초등학교,6,47,31218,충남 천안시 동남구 광덕면 보산원2길 33,041-567-0344,True,36.6855929173474,127.075778030134
156,551,552,초등학교,목천초등학교,8,104,31231,충남 천안시 동남구 목천읍 서리2길 31,041-557-3342,True,36.7876937772989,127.235482046989
157,552,553,초등학교,신계초등학교,14,200,31233,충남 천안시 동남구 목천읍 천정1길 243-9,041-557-1291,True,36.7687772111732,127.202391278899
158,553,554,초등학교,도장초등학교,6,46,31225,충남 천안시 동남구 목천읍 도장1길 73 ,041-566-6433,True,36.7474272432979,127.180410421201
159,554,555,초등학교,천안부영초등학교,16,302,31226,충남 천안시 동남구 목천읍 삼성5길 22-14,041-565-1371,True,36.7594990109016,127.175331811497
160,555,556,초등학교,신흥초등학교,16,339,31233,충남 천안시 동남구 목천읍 신계5길 27 ,041-557-0382,True,36.7735534112013,127.21655783482
161,556,557,초등학교,위례초등학교,6,48,31238,충남 천안시 동남구 북면 오곡2길 6-13,041-554-7365,True,36.8245848453101,127.274323525732
162,557,558,초등학교,은석초등학교,6,43,31242,충남 천안시 동남구 북면 용암3길 10,041-553-3081,True,36.7882787925268,127.257563627281
163,558,559,초등학교,성남초등학교,6,44,31248,충남 천안시 동남구 성남면 대흥신덕길 95,041-553-0032,True,36.7272765557759,127.250929581284
164,559,560,초등학교,신사초등학교,6,27,31245,충남 천안시 동남구 성남면 신사대화로 155,041-553-0014,True,36.7426721552908,127.238233215994
165,560,561,초등학교,수신초등학교,6,30,31251,충남 천안시 동남구 수신면 수신로 459,041-522-0101,True,36.7329854057333,127.28333875063
166,561,562,초등학교,병천초등학교,8,134,31254,충남 천안시 동남구 병천면 병천2로 35,041-564-1021,True,36.7658767304547,127.300739370307
167,562,563,초등학교,천동초등학교,7,21,31258,충남 천안시 동남구 동면 동산1길 59,041-523-4012,True,36.7783635012066,127.347984414738
168,563,564,초등학교,성환초등학교,24,517,31015,충남 천안시 서북구 성환읍 성환12길 37,041-581-9555,True,36.9181490987513,127.132510331711
169,564,565,초등학교,성신초등학교,10,125,31014,충남 천안시 서북구 성환읍 성환12길 7,041-581-2814,True,36.9181787816959,127.128456830486
170,565,566,초등학교,대홍초등학교,6,39,31005,충남 천안시 서북구 성환읍 잠실길 4,041-581-2700,True,36.9493889886753,127.147105679798
171,566,567,초등학교,신가초등학교,6,48,31001,충남 천안시 서북구 성환읍 성환신흥2길 2,041-581-3860,True,36.9510108009635,127.114518265316
172,567,568,초등학교,신방초등학교,6,53,31000,충남 천안시 서북구 성환읍 신방로 73,041-581-2314,True,36.9290215348209,127.088028028158
173,568,569,초등학교,도하초등학교,6,53,31005,충남 천안시 서북구 성환읍 연암로 382,041-581-5140,True,36.94848358675731,127.16673641940152
174,569,570,초등학교,직산초등학교,9,140,31032,충남 천안시 서북구 직산읍 직산안길 79,041-581-3706,True,36.9037529470649,127.161815414284
175,570,571,초등학교,삼은초등학교,26,486,31037,충남 천안시 서북구 직산읍 삼은2길 11,041-583-3915,True,36.8777218404151,127.148139121005
176,571,572,초등학교,양당초등학교,10,161,31029,충남 천안시 서북구 직산읍 양당1길 9-12,041-584-0015,True,36.8786750119797,127.113997396718
177,572,573,초등학교,성거초등학교,27,563,31046,충남 천안시 서북구 성거읍 소댕이3길 606-21,041-622-7849,True,36.8718467969943,127.199764731378
178,573,574,초등학교,소망초등학교,25,482,31048,충남 천안시 서북구 성거읍 역전말3길 102 ,041-587-0065,True,36.8758976208775,127.162241176207
179,574,575,초등학교,입장초등학교,13,157,31055,충남 천안시 서북구 입장면 하장4길 19,041-585-3992,True,36.913412827028,127.220040802678
180,575,576,초등학교,양대초등학교,6,54,31055,충남 천안시 서북구 입장면 성진로 858,041-584-5077,True,36.9149438729105,127.226230750876
181,924,925,중학교,천안중학교,22,638,31127,충남 천안시 동남구 충절로 90,041-562-0241,True,36.8110971441249,127.157020930042
182,925,926,중학교,천안북중학교,23,606,31123,충남 천안시 동남구 중앙로 188,041-561-4657,True,36.8152424225911,127.154133401164
183,926,927,중학교,천안여자중학교,25,640,31186,충남 천안시 동남구 원거리11길 31,041-551-2945,True,36.8022404820084,127.157433138848
184,927,928,중학교,천안동중학교,21,641,31070,충남 천안시 동남구 충절로 363-11,041-413-3953,True,36.788801154004,127.166789739781
185,928,929,중학교,천안성정중학교,32,927,31108,충남 천안시 서북구 성정중2길 40,041-552-0755,True,36.8299055371165,127.136191657214
186,929,930,중학교,천안봉서중학교,20,439,31155,충남 천안시 서북구 미라1길 48,041-571-8352,True,36.8066100679551,127.129735985598
187,930,931,중학교,천안부성중학교,22,531,31080,충남 천안시 서북구 공대길 45-9,041-523-7092,True,36.847421149174,127.149753489679
188,931,932,중학교,천안쌍용중학교,38,1117,31166,충남 천안시 서북구 쌍용12길 13,041-576-7362,True,36.8037866834191,127.120506652381
189,932,933,중학교,천안두정중학교,31,918,31101,충남 천안시 서북구 두정중1길 26,041-561-6801,True,36.836299809886,127.139288118556
190,933,934,중학교,천안오성중학교,29,887,31089,충남 천안시 서북구 두정고1길 25,041-522-7205,True,36.8360123173737,127.12893811513
191,934,935,중학교,천안성성중학교,28,879,31100,충남 천안시 서북구 부성1길 83,041-622-3704,True,36.8377248550563,127.135039607491
192,935,936,중학교,천안백석중학교,31,901,31158,충남 천안시 서북구 백석1길 56,041-522-9616,True,36.8191295446484,127.121732197604
193,936,937,중학교,환서중학교,28,823,31098,충남 천안시 서북구 한들3로 50,041-412-7020,True,36.8288049406977,127.124159785733
194,937,938,중학교,천안신방중학교,38,1080,31176,충남 천안시 동남구 신촌4로 46,041-592-1012,True,36.7903147324686,127.126029183066
195,938,939,중학교,천안불당중학교,36,1109,31164,충남 천안시 서북구 불당11로 35,041-558-9522,True,36.8047984759791,127.110458791263
196,939,940,중학교,천안월봉중학교,35,1047,31169,충남 천안시 서북구 광장로 245,041-523-9851,True,36.8014279384806,127.110866309514
