연번,구분,학교명,학급수,학생수(명),우편번호,주소,연락처
58,유치원,천안불무초등학교병설유치원,5,72,31156,충남 천안시 서북구 불당23로 29,041-565-9975
59,유치원,천안한들초등학교병설유치원,4,21,31096,충남 천안시 서북구 한들2로 33,041-551-5804
60,유치원,천안백석초등학교병설유치원,2,27,31158,충남 천안시 서북구 백석3로 98,041-622-8486
61,유치원,천안희망초등학교병설유치원,3,36,31115,충남 천안시 동남구 단대로 21-7,041-622-6427
62,유치원,천안호수초등학교병설유치원,4,52,31167,충남 천안시 서북구 공원로 140,041-533-5362
63,유치원,천안가람초등학교병설유치원,4,53,31078,충남 천안시 서북구 성성6로 47-11,041-415-2473
64,유치원,천안능수초등학교병설유치원,4,36,31212,충남 천안시 동남구 청당용평로 112,041-414-2585
65,유치원,복자유치원,4,61,31131,충남 천안시 동남구 옛시청길 32,041-567-9666
66,유치원,색동유치원,2,38,31141,충남 천안시 서북구 성정6길 8-7,041-575-4131
67,유치원,대한유치원,9,186,31133,충남 천안시 서북구 동서대로110-24,041-575-3990
68,유치원,중앙유치원,5,83,31137,충남 천안시 서북구 서부14길 55,041-575-9998
69,유치원,미래클유치원,6,113,31133,충남 천안시 서북구 쌍용대로 301 ,041-577-6622
70,유치원,자연유치원,5,73,31150,충남 천안시 동남구 양지4길 6-7,041-572-5306
71,유치원,예랑유치원,4,52,31166,충남 천안시 서북구 쌍용11길 33,041-571-2556
72,유치원,젤라유치원,6,147,31155,충남 천안시 서북구 미라3길 5,041-571-0033
73,유치원,호서대학교부속유치원,6,114,31066,충남 천안시 동남구 각원사길 69,041-560-8470
74,유치원,천안원광유치원,2,29,31120,충남 천안시 동남구 천안천9길 58,041-551-4974
75,유치원,새미기픈믈유치원,6,84,31137,충남 천안시 서북구 서부13길 39,041-572-0642
76,유치원,늘푸른유치원,8,190,31099,충남 천안시 서북구 늘푸른6길 41,041-554-9413
77,유치원,한사랑유치원,4,73,31102,충남 천안시 서북구 두정중5길 22,041-555-5274
78,유치원,더그림유치원(구 한라유치원),7,114,31185,충남 천안시 동남구 서부대로 226-12,041-578-2500
79,유치원,늘사랑유치원,9,155,31161,충남 천안시 서북구 봉서산샛길 67,041-578-3111
80,유치원,미래유치원,11,197,31095,충남 천안시 서북구 백석로 17-17,041-551-3233
81,유치원,또바트유치원(구 예스유치원),3,20,31177,충남 천안시 동남구 신촌4로 16,041-572-0272
82,유치원,푸른별유치원,5,89,31172,충남 천안시 서북구 쌍용14길 66,041-578-1777
83,유치원,좋은유치원,3,39,31172,충남 천안시 서북구 쌍용18길 18,041-578-4422
84,유치원,엔젤유치원,5,66,31171,충남 천안시 서북구 월봉7길 77,041-579-6755
85,유치원,아이캔유치원,6,105,31117,충남 천안시 동남구 중앙로 281-5,041-558-7942
86,유치원,우리유치원,14,295,31099,충남 천안시 서북구 부성1길 51-10,041-522-5201
87,유치원,유한유치원,6,91,31179,충남 천안시 서북구 월봉9길 7,041-577-3511
88,유치원,세중아유치원,15,271,31150,충남 천안시 동남구 양지2길 22,041-573-6477
89,유치원,행복한리더로유치원,15,300,31090,충남 천안시 서북구 오성6길 27,041-523-7600
90,유치원,백향목유치원,12,253,31206,충남 천안시 동남구 배울1길 16,041-573-5829
91,유치원,세화유치원,7,130,31175,충남 천안시 서북구 충무로 158-23,041-573-6400
92,유치원,아이숲유치원,7,138,31181,충남 천안시 서북구 다가말 2길 26,041-577-7179
93,유치원,사랑유치원,6,78,31008,충남 천안시 서북구 성환읍 신방로 336-11,041-581-4757
94,유치원,동심유치원,4,87,31046,충남 천안시 서북구 성거읍 소댕이3길 13,041-622-3645
95,유치원,동화유치원,4,71,31050,충남 천안시 서북구 성거읍 신월길 42,041-583-5034
96,유치원,새천안유치원,5,73,31038,충남 천안시 서북구 직산읍 자은가리1길 68-1,041-585-3600
97,유치원,은파유치원,1,7,31246,충남 천안시 동남구 목천읍 운전3길 20,041-557-9596
98,유치원,색종이유치원,0,0,31232,충남 천안시 동남구 목천읍 동평1길 49,041-557-1363
99,유치원,하얀유치원,3,53,31226,충남 천안시 동남구 목천읍 삼성5길 54,041-621-5544
100,유치원,아이세상유치원,2,18,31046,충남 천안시 서북구 성거읍 망향로 528-3,041-562-1193
101,유치원,가원유치원,7,118,31233,충남 천안시 동남구 목천읍 목천안터1길 55,041-562-1004
102,유치원,도담유치원,6,121,31030,충남 천안시 서북구 직산읍 양당율금길 4-24,041-585-7179
103,유치원,화랑유치원,2,15,31055,충남 천안시 서북구 입장면 하장1길10-6,041-583-9286
104,유치원,백석대학교부속유치원,6,108,31197,충남 천안시 동남구 청수7로 30-15,041-558-1580
105,유치원,세실유치원,3,34,31205,충남 천안시 동남구 통정6로 46,041-578-8034
106,유치원,명문유치원,6,100,31208,충남 천안시 동남구 통정8로 5-23,041-578-8010
107,유치원,셀라유치원,9,178,31184,충남 천안시 동남구 용곡2길 43-22,041-574-1000
108,유치원,아이솔유치원,12,247,31095,충남 천안시 서북구 번영로 306-8,041-523-7770
109,유치원,좋은나무숲유치원,8,172,31197,충남 천안시 동남구 청수7로 6,041-565-3355
110,유치원,백석유치원,13,235,31097,충남 천안시 서북구 한들2로 34-42,041-621-8010
111,유치원,해여림유치원,18,334,31091,충남 천안시 서북구 한들4로 75,041-554-3217
112,유치원,이튼유치원,20,386,31156,충남 천안시 서북구 불당18로 33,041-567-7111
113,유치원,신관유치원,6,72,32576,충남 공주시 번영1로 97-9,041-853-9935
114,유치원,공주중동초등학교병설유치원,2,16,32563,충남 공주시 웅진로 146-5,041-850-9606
115,유치원,공주금학초등학교병설유치원,1,3,32564,충남 공주시 공주고담길 19,041-856-8775
116,유치원,태봉초등학교병설유치원,0,0,32600,충남 공주시 원태봉길57(태봉동),041-852-8007
117,유치원,공주봉황초등학교병설유치원,1,3,32549,충남 공주시 오거리길5,041-854-2203
118,유치원,효포초등학교병설유치원,0,0,32596,충남 공주시 전진배길313(신기동),041-852-5371
119,유치원,공주교동초등학교병설유치원,2,11,32542,충남 공주시 용당길 69-6,041-854-3927
120,유치원,공주신월초등학교병설유치원,3,38,32579,충남 공주시 번영1로 193(신관동),041-881-5016
121,유치원,유구초등학교병설유치원,1,7,32506,충남 공주시 유구읍 유구초교길 12,041-841-7964
122,유치원,구산초등학교병설유치원,1,8,32508,충남 공주시 유구읍 유구마곡사로 61-1,041-841-8589
123,유치원,이인초등학교병설유치원,1,2,32607,충남 공주시 이인면 은행길56,041-857-7922
124,유치원,탄천초등학교병설유치원,1,5,32609,충남 공주시 탄천면 통산로 168,041-853-4276
125,유치원,계룡초등학교병설유치원,1,6,32616,충남 공주시 계룡면 영규대사로 459,041-857-9125
126,유치원,경천초등학교병설유치원,1,4,32619,충남 공주시 계룡면 신원사로112,041-852-4030
127,유치원,반포초등학교병설유치원,1,3,32622,충남 공주시 반포면 반포초교길 97,070-7606-1514
128,유치원,학봉초등학교병설유치원,1,9,32626,충남 공주시 반포면 동학사 1로 141-10,042-825-4068
129,유치원,의당초등학교병설유치원,1,6,32518,충남 공주시 의당면 의당초교길 49,041-854-4073
130,유치원,수촌초등학교병설유치원,1,3,35311,충남 공주시 윗태실길 1-8,041-858-1015
131,유치원,정안초등학교병설유치원,1,6,32512,충남 공주시 정안면 내촌리 정안중앙길79,041-858-9577
132,유치원,석송초등학교병설유치원,1,4,32513,충남 공주시 정안면 마래섭들길56,041-858-0386
133,유치원,우성초등학교병설유치원,1,6,32531,충남 공주시 우성면 동대리길 33,041-853-2486
134,유치원,귀산초등학교병설유치원,1,12,32528,충남 공주시 우성면 귀산길 81-15,041-854-7302
135,유치원,상서초등학교병설유치원,0,0,32530,충남 공주시 우성면 우성길 137-37,041-853-0544
136,유치원,호계초등학교병설유치원,1,5,32523,충남 공주시 사곡면 마곡사로 149-12,041-841-5883
137,유치원,마곡초등학교병설유치원,1,3,32520,충남 공주시 사곡면 운정길 29-10,041-841-8013
138,유치원,신풍초등학교병설유치원,1,6,32525,충남 공주시 신풍면 신풍길50-11,041-841-6493
139,유치원,덕암초등학교병설유치원,1,1,32500,충남 공주시 유구읍 금계산로 943,041-841-6351
140,유치원,공주대학교사범대학부설유치원,6,88,32576,충남 공주시 신관동 공주대학로 56(신관캠퍼스 내),041-850-6052
141,유치원,근화유치원,3,62,32562,충남 공주시 성당길 9,041-856-1035
142,유치원,원효유치원,0,0,32550,충남 공주시 봉황산 2길 18,041-855-0444
143,유치원,자람터유치원,3,55,32578,충남 공주시 신금1길 62-9,041-881-8206
144,유치원,한국영상대학교부설유치원,8,141,32514,충남 공주시 정안면 화봉평정길 48,041-852-8530
145,유치원,행복한울타리유치원,3,70,32593,충남 공주시 월송동현로 70(월송동),041-857-7942
146,유치원,명천유치원,7,94,33481,충남 보령시 주공로 119,041-931-8862
147,유치원,대천초등학교병설유치원,1,8,33439,충남 보령시 대천로 59,041-931-1403
148,유치원,대천동대초등학교병설유치원,3,52,33430,충남 보령시 한내로터리길 137-12,041-931-7937
149,유치원,청룡초등학교병설유치원,1,4,33491,충남 보령시 대해로 646,041-933-3587
150,유치원,청룡초등학교장고분교장병설유치원,0,0,33411,충남 보령시 오천면 장고도2길 18,041-936-4982
151,유치원,청파초등학교병설유치원,0,0,33489,충남 보령시 대천항로 235,041-931-4734
152,유치원,웅천초등학교병설유치원,0,0,33519,충남 보령시 웅천읍 충서로 1035,041-931-2984
153,유치원,대창초등학교병설유치원,1,5,33522,충남 보령시 웅천읍 방축길 90-43,041-934-6694
154,유치원,관당초등학교병설유치원,0,0,33507,충남 보령시 웅천읍 무창포로 309,041-936-3818
155,유치원,주포초등학교병설유치원,1,2,33414,충남 보령시 주포면 보령읍성길 87-22,041-932-6780
156,유치원,관창초등학교병설유치원,1,3,33426,충남 보령시 주교면 한술1길 17,041-932-3540
157,유치원,송학초등학교병설유치원,1,3,33409,충남 보령시 주교면 토정로 796-52,041-934-7095
158,유치원,오천초등학교병설유치원,1,8,33412,충남 보령시 오천면 충청수영로 822,041-932-9858
159,유치원,오천초등학교삽시분교장병설유치원,1,1,33411,충남 보령시 오천면 삽시도1길 159-34,041-932-3895
160,유치원,천북초등학교병설유치원,1,5,33402,충남 보령시 천북면 하궁길 45,041-641-9018
161,유치원,낙동초등학교병설유치원,0,0,33403,충남 보령시 천북면 천광로 421-6,041-641-6991
162,유치원,청소초등학교병설유치원,1,2,33418,충남 보령시 청소면 청소큰길 225,041-932-9776
163,유치원,남포초등학교병설유치원,1,4,33495,충남 보령시 남포면 읍성향교길 21,041-934-2343
164,유치원,주산초등학교병설유치원,1,4,33517,충남 보령시 주산면 충서로 416,041-933-6064
165,유치원,청라초등학교병설유치원,1,11,33424,충남 보령시 청라면 원모루길 205,041-933-8038
166,유치원,청보초등학교병설유치원,1,4,33423,충남 보령시 청라면 대청로 759,041-931-1430
167,유치원,옥계초등학교병설유치원,1,5,33421,충남 보령시 청라면 죽성로 681,041-936-1025
168,유치원,월전초등학교병설유치원,1,6,33501,충남 보령시 남포면 곡촌길 11,041-934-1094
169,유치원,개화초등학교병설유치원,1,3,33486,충남 보령시 성주면 성주산로 735,041-933-9511
170,유치원,성주초등학교병설유치원,1,3,33485,충남 보령시 성주면 성주초교길 8,041-934-3484
171,유치원,미산초등학교병설유치원,1,8,33512,충남 보령시 미산면 판미로 1462-7,041-933-4178
172,유치원,청파초등학교외연도분교장병설유치원,1,1,33411,충남 보령시 오천면 외연도1길 134,041-936-6780
173,유치원,광명초등학교병설유치원,0,0,33411,충남 보령시 오천면 원산도3길 151-11,041-936-6109
174,유치원,보령창미유치원,6,68,33447,충남 보령시 주교면 토정로 218,041-931-9534
175,유치원,꿈바위유치원,3,57,33430,충남 보령시 한내여중길 66,041-936-1968
176,유치원,상아유치원,9,175,33443,충남 보령시 봉황로 91,041-936-2226
177,유치원,제일유치원,10,209,33441,충남 보령시 대고로 20,041-934-1255
178,유치원,온양동신유치원,6,80,31526,충남 아산시 번영로 234번길52,041-548-3345
179,유치원,온양초등학교병설유치원,1,4,31562,충남 아산시 온주길 26번길 10,041-549-7036
180,유치원,온양온천초등학교병설유치원,5,33,31520,충남 아산시 청운로 90,041-544-9822
181,유치원,온양초사초등학교병설유치원,1,6,31559,충남 아산시 초사길 122,041-532-2139
182,유치원,온양천도초등학교병설유치원,4,32,31504,충남 아산시 실옥로 45,041-544-4860
183,유치원,신리초등학교병설유치원,4,52,31517,충남 아산시 모종로 73-13,041-425-2095
184,유치원,신광초등학교병설유치원,2,10,32530,충남 아산시 서부북로 993,041-534-7217
185,유치원,온양중앙초등학교병설유치원,1,6,31570,충남 아산시 중앙로 17,041-546-5909
186,유치원,용화초등학교병설유치원,1,8,31569,충남 아산시 시민로 258번길 3-8,041-549-7490
187,유치원,온양신정초등학교병설유치원,2,10,31502,충남 아산시 온천대로 1333번길 29,041-532-7920
188,유치원,아산초등학교병설유치원,4,41,31580,충남 아산시 남부로 266,041-549-6294
189,유치원,송남초등학교병설유치원,1,10,31557,충남 아산시 송악면 송악로 802,041-543-9704
190,유치원,거산초등학교병설유치원,1,6,31584,충남 아산시 송악면 외암로 460,041-542-9155
191,유치원,금곡초등학교병설유치원,4,30,31581,충남 아산시 배방읍 고불로 563-4,041-549-9016
192,유치원,동방초등학교병설유치원,0,0,31474,충남 아산시 배방읍 휴대안길 10,041-548-3855
193,유치원,연화초등학교병설유치원,3,27,31467,충남 아산시 배방읍 연화로 43,041-549-8565
194,유치원,아산용연초등학교병설유치원,4,47,31463,충남 아산시 배방읍 용연동길 25,041-541-7106
195,유치원,아산공수초등학교병설유치원,5,70,31480,충남 아산시 배방읍 모산로 38-59,041-424-7904
196,유치원,탕정초등학교병설유치원,3,35,31457,충남 아산시 탕정면 탕정면로 105,041-544-5873
197,유치원,동덕초등학교병설유치원,3,26,31458,충남 아산시 탕정면 탕정면로 381 ,041-533-3814
198,유치원,탕정미래초등학교병설유치원,4,40,31457,충남 아산시 탕정면 탕정면로 54-15 ,041-549-6815
199,유치원,염티초등학교병설유치원,1,3,31445,충남 아산시 염치읍 염치로 49,041-541-8734
200,유치원,송곡초등학교병설유치원,0,0,31450,충남 아산시 염치읍 송곡길 112,041-549-1095
201,유치원,음봉초등학교병설유치원,1,9,31443,충남 아산시 음봉면 아산온천로 517,041-544-2805
202,유치원,월랑초등학교병설유치원,5,70,31416,충남 아산시 음봉면 음봉로 515-50,041-541-4742
203,유치원,쌍룡초등학교병설유치원,1,4,31414,충남 아산시 음봉면 연암율금로 499,041-545-6999
204,유치원,산동초등학교병설유치원,4,44,31418,충남 아산시 음봉면 산동희망로 10,041-427-7051
205,유치원,둔포초등학교병설유치원,2,13,31405,충남 아산시 둔포면 둔포중앙로 161번길 7 ,041-531-0054
206,유치원,염작초등학교병설유치원,3,47,31406,충남 아산시 둔포면 아산밸리중앙로 33,041-531-1123
207,유치원,남창초등학교병설유치원,1,6,31401,충남 아산시 둔포면 신남북길 16,041-531-8844
208,유치원,관대초등학교병설유치원,1,12,31411,충남 아산시 둔포면 산전길 19,041-531-1590
209,유치원,선장초등학교병설유치원,1,2,31546,충남 아산시 선장면 서부남로 21,041-542-0731
210,유치원,도고초등학교병설유치원,1,7,31552,충남 아산시 도고면 도고산로 598,041-544-3811
211,유치원,도고온천초등학교병설유치원,0,0,31550,충남 아산시 도고면 도고면로 73,041-542-0029
212,유치원,신창초등학교병설유치원,1,5,31462,충남 아산시 신창면 서부남로 840번길 26,041-541-5173
213,유치원,오목초등학교병설유치원,1,5,31534,충남 아산시 신창면 서부북로 547,041-542-7263
214,유치원,배방유치원,8,105,31487,충남 아산시 배방읍 북수로 25번길 10,041-549-0141
215,유치원,아산흰돌유치원,6,66,31402,충남 아산시 영인면 아산호로 229 ,041-549-6313
216,유치원,아산월천유치원,10,76,31494,충남 아산시 배방읍 월천3길 16,041-549-6742
217,유치원,한들물빛유치원,13,208,31465,충남 아산시 탕정면 한들물빛1로 48,041-910-8301
218,유치원,아산세교유치원,15,222,31473,충남 아산시 배방읍 세교중앙1길 9,041-532-3521
219,유치원,한들물빛초등학교병설유치원,4,52,31465,충남 아산시 탕정면 한들물빛도시로 49,041-424-8404
220,유치원,아산갈산초등학교병설유치원,4,52,31461,충남 아산시 탕정면 갈산교로 210,041-532-7106
221,유치원,온양제일유치원,3,71,31524,충남 아산시 모종북로17,041-533-5074
222,유치원,룸비니글로벌유치원,7,93,31539,충남 아산시 신정로 183,041-548-3553
223,유치원,삼일푸른유치원,6,109,31419,충남 아산시 음봉면 음봉로 847,041-532-0990
224,유치원,프라임유치원,7,153,31491,충남 아산시 배방읍 북수로 111번길 6-9,041-533-3852
225,유치원,자연유치원,7,100,31479,충남 아산시 배방읍 공수길 120-14,041-548-5611
226,유치원,숲속성광유치원,9,177,31580,충남 아산시 남부로 370-54,041-542-9977
227,유치원,수정명문유치원,5,101,31567,충남 아산시 시민로291번길 30-6,041-546-8290
228,유치원,해와달유치원,4,61,31531,충남 아산시 서부북로 956,041-531-7979
229,유치원,대명아이웰유치원,5,65,31568,충남 아산시 시민로 208번길 3-7,041-534-0017
230,유치원,아이사랑유치원,10,191,31579,충남 아산시 남부로 321-19,041-542-8881
231,유치원,빛나유치원,3,48,33652,충남 아산시 온천대로 1092번길 75,041-545-0400
232,유치원,아주나유치원,13,272,31462,충남 아산시 배방읍 용연동길 48,041-545-7400
233,유치원,하늘유치원,6,122,31504,충남 아산시 문화로 26-9,041-532-5008
234,유치원,아이세상유치원,6,75,31531,충남 아산시 온천대로 1105-17,041-532-0271
235,유치원,수정아트유치원,5,103,31567,충남 아산시 시민로 291번길 31-5,041-543-8290
236,유치원,아해랑유치원,10,183,31450,충남 아산시 염치읍 송곡남길 82-5,041-532-1005
237,유치원,삼성샛별유치원,13,222,31456,충남 아산시 탕정면 탕정면로 22번길 13,041-531-6701
238,유치원,하나유치원,6,83,31486,충남 아산시 배방읍 모산로126번길 17-7,041-532-0065
239,유치원,일심유치원,7,111,31495,충남 아산시 배방읍 봉강천로 171,041-546-6435
240,유치원,세종유치원,15,300,31462,충남 아산시 배방읍 용연동길 54,041-547-6601
241,유치원,사랑유치원,15,300,31406,충남 아산시 둔포면 아산밸리중앙로 36,041-541-6336
242,유치원,예지슬유치원,15,282,31416,충남 아산시 음봉면 월암로 199번길 119-15,041-425-2100
243,유치원,큰곰유치원,12,231,31405,충남 아산시 둔포면 둔포로38번길 135-18,041-543-7007
244,유치원,서산서림유치원,6,53,31999,충남 서산시 덕지천로 104(석남동),041-667-9553
245,유치원,서산초등학교병설유치원,5,33,31983,충남 서산시 중앙로 38-1,041-665-1312
246,유치원,서동초등학교병설유치원,2,19,31979,충남 서산시 쌍연남1로 19-5,041-681-8055
247,유치원,오산초등학교병설유치원,1,4,32009,충남 서산시 덕지천로 436,041-669-2709
248,유치원,서령초등학교병설유치원,1,3,32007,충남 서산시 남부순환로 749,041-665-7779
249,유치원,부춘초등학교병설유치원,2,22,31985,충남 서산시 양유정 3로 9 (읍내동 130),041-669-2236
250,유치원,학돌초등학교병설유치원,3,19,31971,충남 서산시 부춘1로 35(읍내동),041-668-8612
251,유치원,서산석림초등학교병설유치원,2,27,32003,충남 서산시 동서1로 41-6 ,041-668-6093
252,유치원,예천새뜰유치원,10,113,31998,충남 서산시 예천7로 49-10,041-664-9918
253,유치원,서산예천초등학교병설유치원,2,23,31998,충남 서산시 예천 1로 3-21,041-681-5477
254,유치원,서산동문초등학교병설유치원,2,13,31967,충남 서산시 쌍연북 2로 31,041-668-7916
255,유치원,서산서남초등학교병설유치원,5,52,31998,충남 서산시 예천2로 19,041-671-5000
256,유치원,대산초등학교병설유치원,1,11,31909,충남 서산시 대산읍 구진로 40-5,041-669-0152
257,유치원,명지초등학교병설유치원,0,0,31907,충남 서산시 대산읍 명지3로25,041-664-9286
258,유치원,서산대진초등학교병설유치원,1,4,31906,충남 서산시 대산읍 기은아섬길 16,041-681-7055
259,유치원,인지초등학교병설유치원,1,6,32015,충남 서산시 인지면 둔산1길 1,041-662-1045
260,유치원,차동초등학교병설유치원,1,6,32012,충남 서산시 인지면 차동길 140,041-662-1709
261,유치원,부석초등학교병설유치원,1,3,32019,충남 서산시 부석면 취평 2길 37-6,041-669-0935
262,유치원,강당초등학교병설유치원,1,4,32021,충남 서산시 부석면 인정로 183,041-669-6865
263,유치원,가사초등학교병설유치원,1,3,32017,충남 서산시 부석면 강경벌로 478,041-662-1396
264,유치원,팔봉초등학교병설유치원,1,8,31923,충남 서산시 팔봉면 한재무두리1길 233,041-669-6020
265,유치원,부성초등학교병설유치원,2,14,31919,충남 서산시 지곡면 화천1로 83,041-664-4512
266,유치원,성연유치원,14,194,31930,충남 서산시 성연면 옥동샘길 11-8,041-664-7641
267,유치원,음암초등학교병설유치원,1,14,31936,충남 서산시 음암면 도당로 5,041-669-6215
268,유치원,동암초등학교병설유치원,1,14,31941,충남 서산시 음암면 동암마을길 14-3,041-669-2298
269,유치원,운산초등학교병설유치원,1,6,31945,충남 서산시 운산면 운암로 1037,041-669-6350
270,유치원,운신초등학교병설유치원,1,8,31948,충남 서산시 운산면 해운로 539,041-688-4105
271,유치원,해미초등학교병설유치원,2,12,31960,충남 서산시 해미면 성지1로 81,041-688-1592
272,유치원,언암초등학교병설유치원,1,4,31959,충남 서산시 해미면 기지1길 27,041-688-9046
273,유치원,고북초등학교병설유치원,1,2,32027,충남 서산시 고북면 고북3로 19,041-669-6304
274,유치원,천사유치원,5,88,31975,충남 서산시 서령로 53,041-669-1004
275,유치원,서광유치원,5,92,31970,충남 서산시 부춘산1로 17,041-666-1510
276,유치원,삼성유치원,4,53,32007,충남 서산시 남부순환로767,041-664-3144
